Target,Targeting,Type,AGI_ID,Conica_ID,Accession,Notes,conica_chloroplast_1,conica_chloroplast_2,conica_mito_1,conica_mito_2,conica_nuclear_1,conica_nuclear_2,Mitochondrial,Cytosolic,Chloroplast
N,Cyto,ProRS,At3g62120,58151,Sconica_v3_40218-RA,,0,0,0,0,190454927.2,604035315.5,0,1,0
M|P|N,Cyto+Organellar,ProRS,At3g62120,63323,Sconica_v3_33921-RA,Gain of organellar targeting relative to Arabidopsis,0,0,647915046,298099581.3,0,0,1,1,1
N,Cyto,ProRS,At3g62120,67091,Chr07-anno1.g5125.t1,,0,0,0,0,280617117.4,469135607.1,0,1,0
M|P,Organellar,ProRS,At5g52520,64027,Sconica_v3_52819-RA,,2275045107,2066198545,27615739,0,1848072923,1049379552,1,0,1
M|P,Organellar,SerRS,At1g11870,69252,Sconica_v3_04574-RA,,1487991413,1431151873,0,0,366376571.6,159157388.2,1,0,1
N,Cyto,SerRS,At5g27470,69341,Chr10-anno1.g31646.t1,,0,0,346408989,316129343.7,74886540.97,144216631.9,0,1,0
N,Cyto,SerRS,At5g27470,71253,Sconica_v3_31395-RA,,0,0,68029337,133178194.8,251196758.9,207472831.6,0,1,0
N,Cyto,ThrRS,At1g17960,50299,Chr03-anno1.g57229.t1,,28699444.87,27661785.11,0,0,1408043892,1717327581,0,1,0
M|P,Organellar,ThrRS,At2g04842,53145,Chr03-anno2.g22858.t1,,217382415.9,344589613.1,440669258,325701429.4,227333414.4,0,1,0,1
P,Plastid,TrpRS,At2g25840,74083,Sconica_v3_07188-RA,Loss of mito targeting relative to arabidopsis,725199700.6,1693796017,56190416,0,544424473.7,501889289.7,0,0,1
M|N,Cyto+Mito,TrpRS,At3g04600,73022_GLUED,Sconica_v3_31048-RA,Gain of mito targeting relative to Arabidopsis,0,52157883.67,1486485376,1254887554,986439451.7,1140727759,1,1,0
M|N,Cyto+Mito,TyrRS,At1g28350,45311,Sconica_v3_51829-RA,Gain of mito targeting relative to Arabidopsis,0,0,93089468,22958666.69,0,0,1,1,0
M|N,Cyto+Mito,TyrRS,At1g28350,82905,Sconica_v3_09223-RA,Gain of mito targeting relative to Arabidopsis,0,0,0,0,40838979.75,103098509.3,1,1,0
M|P,Organellar,TyrRS,At3g02660,3570,Chr02-anno1.g27084.t1,Not in original search set,672230712.4,553181088.2,0,0,360215746.9,830351719.9,1,0,1
N,Cyto,ValRS,At1g14610,24427,Iso-Seq_ValRS_At1g14610_24427,Loss of mito targeting relative to arabidopsis,0,0,212397910,136246439.5,1367486535,2677302558,0,1,0
M|P,Organellar,ValRS,At5g16715,26695,Sconica_v3_25295-RA,,1149272744,915257990.9,386976608,135299872.7,216339691.1,134819908.3,1,0,1
