Protein	UniquePeptides	TotalPSMs	Cp1	Cp2	Lf1	Lf2	Mt1	Mt2	Cp1_noPF	Cp2_noPF	Lf1_noPF	Lf2_noPF	Mt1_noPF	Mt2_noPF
Chr01-anno1.g62128.t1	1	3	0	0	85800778.64	123705459.3	140387840	150224521	0	0	85800778.64	123705459.3	0	150224521
Chr01-anno1.g62185.t1	3	7	96941114.13	203988708.55	138670752.27	153237617.67	27148965.5	199273624.7	19578043.32	120815629.98	102698768.13	0	0	128696486.06
Chr01-anno1.g62439.t1	5	20	2771596888.18	3377181592.7	1450006914.61	1277485826.2	36206996	0	2771596888.18	3377181592.7	1141574401.4	1140570522.1	0	0
Chr01-anno1.g62471.t1	12	27	2398118663.86	2036434677.17	1379242503.69	2142410132.3	118904463.5	43056057.65	1606318251.25	1544502481.18	727524024.6	1573052806	0	0
Chr01-anno1.g62473.t1	1	1	22587169.5	0	46596294.04	43087320.05	0	0	0	0	46596294.04	0	0	0
Chr01-anno1.g62538.t1	2	3	0	758456.6562	728969.5349	34806769.01	14165218.25	52649716.67	0	0	0	0	14165218.25	52649716.67
Chr01-anno1.g62606.t1	3	6	1549511488.7	1191199394.9	236323991.67	174188879.37	0	204298610.6	1110865678.6	829795136.8	178954627.4	114948795.7	0	0
Chr01-anno1.g62681.t1	1	4	109622939	0	60052330.26	113134937	1095811672	640863839.6	0	0	60052330.26	113134937	1095811672	640863839.6
Chr01-anno1.g62765.t1	3	5	0	0	72945123.89	48677963.52	587304464	396413741.47	0	0	0	0	587304464	149519481.9
Chr01-anno1.g63078.t1	1	1	0	0	0	0	64482760	226601647.7	0	0	0	0	0	226601647.7
Chr01-anno1.g63118.t1	20	52	7184796791.765	16950770097.48	4451116601.96	1793750880.74	493372439	692711949.225	6280731558.37	14165643561.68	2766044965.47	505773240.1	98085696	0
Chr01-anno1.g63135.t1	6	8	0	11020540.43	10147119.55	55036149.02	711580644	759900465.1	0	0	0	0	464448556	621288255.1
Chr01-anno1.g63223.t1	2	2	0	0	0	170305256.21	0	0	0	0	0	170305256.21	0	0
Chr01-anno1.g63279.t1	1	2	44011931.62	47470533.5	1236903660	1993082309	64574512	0	0	0	1236903660	1993082309	0	0
Chr01-anno1.g63350.t1	7	9	164844818.6	0	192057459.82	578725972.09	434033100	1655823428.14	0	0	0	578725972.09	243356456	793584587
Chr01-anno1.g63406.t1	3	4	160948855.82	75662791.07	82772460.11	504395832.21	35562792	173515289.3	54633989.08	0	0	330137955.51	0	0
Chr01-anno1.g63408.t1	11	100	183025176986.71	229676352378.7	76889069291.94	104980034418.73	2127676888	4168494272.43	174079699590.75	229493642599.4	76873545960.9	83206790632.8	1545845732	3896740899.13
Chr01-anno1.g63475.t1	1	1	0	0	324896052.9	134781108.1	5782018048	2394179251	0	0	0	134781108.1	0	0
Chr01-anno1.g63513.t1	10	37	8951733954.5	6917957346.76	3365810499.81	9438424642.7	181862660.5	141199143.55	8732617473.6	6639829373.8	2104869240.9	9438424642.7	0	0
Chr01-anno1.g63535.t1	1	1	0	0	0	64106611.37	0	0	0	0	0	64106611.37	0	0
Chr01-anno1.g63569.t1	1	1	8909885.933	6271926.91	0	0	0	0	0	6271926.91	0	0	0	0
Chr01-anno1.g63570.t1	1	1	87887301.52	91618296.3	93121542.81	136044619.3	0	21632525.96	0	91618296.3	0	0	0	0
Chr01-anno1.g63575.t1	2	2	0	0	0	409341454.5	96208192	0	0	0	0	409341454.5	0	0
Chr01-anno1.g63583.t1	4	7	945109584.5	1265753333	624796315.3	28551777.97	145658861	151966315.06	0	0	624796315.3	0	131952536	96724294.59
Chr01-anno1.g63586.t1	3	7	0	0	843391815.4	182779315.3	289506546	256413605.2	0	0	843391815.4	182779315.3	289506546	256413605.2
Chr01-anno1.g63653.t1	1	1	0	0	72381594.6	132055800.2	0	0	0	0	0	132055800.2	0	0
Chr01-anno1.g63655.t1	3	3	0	0	195912008.19	216017564.11	0	0	0	0	86298341.35	216017564.11	0	0
Chr01-anno1.g63716.t1	1	1	270327033	445531260.9	0	24271500.61	0	0	0	445531260.9	0	0	0	0
Chr01-anno1.g63837.t1	6	8	26485407.568	0	255011914.23	551284419.81	0	16251992.65	0	0	140565788.28	391570251.83	0	0
Chr01-anno1.g63840.t1	1	1	91144618.06	35595918.44	44878163.94	55413058.5	0	21236759.2	0	0	44878163.94	0	0	0
Chr01-anno1.g63868.t1	6	8	33141171.26	28071713.47	497273078.13	909915407.36	68294926	142491188.26	0	0	258963744.23	663110521.16	0	0
Chr01-anno1.g63918.t1	3	4	0	0	1191122849	649897000.8	0	0	0	0	510208032.6	649897000.8	0	0
Chr01-anno1.g64044.t1	2	3	4797082.656	0	104279227.92	102308089.8	9075894	7508897.27	0	0	33068724.21	102308089.8	0	0
Chr01-anno1.g64099.t1	5	13	158441542.764	166871655.38	166325247.89	402165546.86	1065066916	1591261194	0	0	0	0	920170372	1591261194
Chr01-anno1.g64174.t1	3	8	452157856.4	169258519.38	226338433.91	265530085.56	0	20932112.18	452157856.4	169258519.38	79603620.01	222081517.4	0	0
Chr01-anno1.g64181.t1	1	1	23974966.69	28207632.58	23861647.95	94175514.82	0	2188562.724	0	0	0	94175514.82	0	0
Chr01-anno1.g64193.t2	12	23	186479715.23	110614853.49	717132363.505	421170302.02	2689926960	4834052427.62	0	0	0	0	1575807664	4313389641.52
Chr01-anno1.g64206.t1	1	1	53378977.32	25269122.49	80580094.09	234200671.7	28222988	33151295.82	53378977.32	0	0	0	0	0
Chr01-anno1.g64224.t1	8	20	148087125.04	65921428.76	4892691702.5	2606633735.4	275635760	196304279.2	0	0	4742462393.3	1611405608.8	275635760	0
Chr01-anno1.g64237.t1	2	2	33472469.43	17272249.61	116708614.14	78168711.48	0	0	0	0	47225288.96	78168711.48	0	0
Chr01-anno1.g64251.t1	5	5	732723767.29	800131732.34	551224638.24	768478384.13	359916498	460072914.5	369052016.19	134260814.9	152789018.7	92219767.65	0	0
Chr01-anno1.g64256.t1	13	18	55433582.79	24774394.36	1862278491.58	1994293202.46	245546467.5	140804086.81	0	0	1555292405.98	1383319550.24	0	0
Chr01-anno1.g64272.t1	24	52	336931376.65	282795730.4	503011144.78	1202166541.38	9632670600	9551033074	131969307.87	108149697.05	123054259	270945665.72	8473897960	6466888514.97
Chr01-anno1.g64308.t1	2	3	0	0	265551238.7783	796255828.9	42522876	0	0	0	889738.5783	796255828.9	0	0
Chr01-anno1.g64351.t1	9	18	571006552.22	722743431.57	391150327.54	329883212.81	132594400	304134887.49	475495708.99	661738802.8	326529637.59	104065057.6	0	0
Chr01-anno1.g64390.t1	6	7	0	0	446710749.71	731217380.43	0	33285637.121	0	0	247469824.3	586931596.13	0	0
Chr01-anno1.g64421.t1	4	18	0	14054735.03	572543203.68	609006008.3	16337956392	20233356392.8	0	0	540029401.4	566719700.93	15627365992	20233356392.8
Chr01-anno1.g64423.t1	3	3	0	0	321146085.265	205752897.229	232147130.5	317572710.002	0	0	0	0	74592602.5	259865993.7
Chr01-anno1.g64487.t1	2	2	0	0	53184579.79	459221265.8	0	0	0	0	0	459221265.8	0	0
Chr01-anno1.g64533.t1	5	7	145025335.8	100281396.2	559513143.07	706863537.02	540041200	646670220.35	0	0	0	0	412465788	646670220.35
Chr01-anno1.g64616.t1	2	2	0	1330523038.4	97317858.36	145850898.92	0	0	0	0	38045892	53237736.3	0	0
Chr01-anno1.g64619.t1	6	8	0	0	311907781.4	916113665.36	9032001	0	0	0	197197200.03	854734957.75	0	0
Chr01-anno1.g64620.t1	6	9	18189100.25	12262838.02	805554544.54	1112781180.47	13479186	0	0	0	468381104.49	905371629.05	0	0
Chr01-anno1.g64625.t1	10	16	128370962.31	319385535.12	186701003.17	530420515.98	1834990685	1389417322.63	0	0	0	0	1620023984	1188549306.05
Chr01-anno1.g64665.t1	5	7	0	9056694.978	1047656256.6	2130252192.4	27888800	56328451.669	0	0	498290194.5	2023001680.2	0	0
Chr01-anno1.g64708.t1	1	1	0	0	17883584.47	60751529.23	0	0	0	0	0	60751529.23	0	0
Chr01-anno1.g64709.t1	17	34	256042492.42	200296728.98	6463534610.4	14164694802.7	690912280	600922932.6	0	0	5372065632.8	12336564829	0	291440044.18
Chr01-anno1.g64712.t1	21	66	49408632.669	132387423.41	1158882117.45	3837151940.76	24841909178	24591044313.12	0	0	544530320.2	2698046328.1	24288938892	21837287875.04
Chr01-anno1.g64715.t1	4	5	26903926.65	36187628.9	189007802.5	258376449.61	87057798	31907705.43	0	0	142826107.3	258376449.61	0	0
Chr01-anno1.g64724.t1	1	1	0	30612768.51	0	0	0	63422075.79	0	30612768.51	0	0	0	0
Chr01-anno1.g64732.t1	17	73	26194810662.91	31332603024.27	26569240492.51	19803370426.99	1750714214	1853147440.346	25335913057	31033096932.4	23839393728.6	15509689376.88	449050486	905342457.41
Chr01-anno1.g64747.t1	6	15	0	119022480.1	756857827.46	1593061603.56	539910150	357355760.66	0	0	715449823.84	1061670120	539910150	357355760.66
Chr01-anno1.g64749.t1	1	1	0	0	23903418.17	113046206.5	0	0	0	0	0	113046206.5	0	0
Chr01-anno1.g64806.t1	2	2	29376474.6	0	85423978.72	140023350.669	0	0	0	0	25734852.11	131956640.2	0	0
Chr01-anno1.g64825.t1	2	2	0	0	16322094.24	138875232.22	0	0	0	0	0	138875232.22	0	0
Chr01-anno1.g64839.t1	3	3	0	0	282350168.6	528782415.45	82625336	80549862.69	0	0	112565505.4	269277933.85	0	0
Chr01-anno1.g64849.t1	14	41	6299091735.86	5479976756.18	2768559833.05	2290214772.79	174575658	271057706.96	6016198363.4	4303359780.58	2296515158.1	1500062454.2	0	0
Chr01-anno1.g64853.t1	7	9	3972529.331	11212624.828	1084661948.03	1708640334	123326390	22492208.45	0	0	828029919.43	1191421740.2	0	0
Chr01-anno1.g64862.t1	5	12	39659997.98	26562576.73	69079064.92	57123415.51	2213810940	1404912081.42	0	0	33191734.94	0	2184554480	1404912081.42
Chr01-anno1.g64863.t1	3	3	0	0	520674398.3	11947775.12	88410770.5	18305405.57	0	0	520674398.3	0	0	0
Chr01-anno1.g64881.t1	3	5	44138773.44	147564093.7	102189828.73	144682142.71	349670224	454961333.13	0	0	0	0	255484504	454961333.13
Chr01-anno1.g64929.t1	1	1	3538747.64	15324249.73	50597942.38	96578934.77	39916420	0	0	0	50597942.38	0	0	0
Chr01-anno2.g43912.t1	1	1	0	0	0	61329989.1	0	0	0	0	0	61329989.1	0	0
Chr01-anno2.g43952.t1	13	59	8343993313.86	12020200706.3	5288297321.8	4353208693.57	647041184	232825171.073	7728049912.9	12020200706.3	5262560130.4	4086725555.6	0	0
Chr01-anno2.g44161.t1	16	41	3003415044.2	4050230562.82	2338613597.44	3201627948.75	902754624	898526581.859	2675783526.93	2822040162.94	1686817548.3	2169119017.63	0	0
Chr01-anno2.g44207.t1	2	3	37936002.42	89552550.73	83877313.49	99281108.83	15524410	19704940.33	0	89552550.73	83877313.49	0	0	0
Chr01-anno2.g44440.t1	1	2	66301720.06	18619143.41	54563097.69	80069474.44	0	0	66301720.06	18619143.41	0	0	0	0
Chr01-anno2.g45053.t1	12	18	16578155.61	5780706.364	1251429896.18	2637720949.44	465974559.25	524729856.353	0	0	605225813.33	2145640087.4	172330716	200659172.61
Chr01-anno2.g45463.t1	1	1	0	0	16804423.97	228653181.7	85764344	0	0	0	0	228653181.7	0	0
Chr01-anno2.g46480.t1	1	1	51931837.55	156547326	0	0	0	0	0	156547326	0	0	0	0
Chr01-anno2.g46927.t1	18	50	6758388383.27	5918319169.47	3600764826.77	4762279119.729	103309883.5	386978967.353	5238351966.57	5291941845.77	3228764283.93	2602703599.1	0	0
Chr01-anno2.g47018.t1	1	1	0	0	0	63367402.81	0	0	0	0	0	63367402.81	0	0
Chr01-anno2.g47224.t1	4	5	68482839.7	313979172.49	46785109.871	21950246.85	18206722	0	45259991.19	313979172.49	0	0	0	0
Chr01-anno2.g47487.t1	17	27	1253668133.98	1140381574.36	621229371.12	856549907.8	505808238.5	550118510.75	845502714.5	734997611.27	230766149.13	129055375.96	0	0
Chr01-anno2.g47683.t1	1	1	30244993120	29139800832	7312528288	13374931618	0	8928645.355	0	0	0	13374931618	0	0
Chr01-anno2.g48250.t1	1	3	0	118217898.9	0	240720062.5	0	0	0	0	0	240720062.5	0	0
Chr01-anno2.g48474.t1	38	98	11685512485.461	13337421324.1	11546880276.28	12380057407.83	7603052633.5	2009486248.823	10113302391.56	11489332780.9	7414236234	6655598529.12	30314322	0
Chr01-anno2.g48736.t1	10	27	1929129120.9	2488065891.4	2436412045.98	3266304882.9	673385517	728993458.78	1065982903.3	1617706747.7	864060387.54	1464129623	241421168	155474453.93
Chr01-anno2.g48983.t1	6	9	19389021.65	58133571.353	1001608914.27	1712665331.58	432198046	71613918.16	0	0	777368968.9	935331442.74	0	0
Chr01-anno2.g49556.t1	3	3	4715611.302	5752346.845	992844522.5	642813881.2	101708958	115962013.32	0	0	0	0	66814530	50681658.23
Chr01-anno2.g49560.t1	2	2	9411722.417	0	45819107.5	118945379.48	0	0	0	0	29301244.91	64710656.64	0	0
Chr01-anno2.g49676.t1	5	8	36107021.04	111885787.5	388051541.049	2133427321.08	215186916	350823008.06	0	0	0	2081106587.5	176356760	185771317.7
Chr01-anno2.g49775.t1	1	3	116661406.5	0	143086218.1	79870597.45	0	0	0	0	143086218.1	79870597.45	0	0
Chr01-anno2.g49833.t1	1	1	8239048.742	0	86341157.55	245472193.8	0	0	0	0	0	245472193.8	0	0
Chr01-anno2.g49922.t1	1	2	0	0	709356822.9	405129183.8	0	0	0	0	709356822.9	405129183.8	0	0
Chr01-anno2.g50376.t1	2	5	58506772.385	53471008.09	209409417.6	438696579.7	23965010	0	58506772.385	0	209409417.6	438696579.7	0	0
Chr01-anno2.g50470.t1	1	1	0	0	97773890.31	98649853.59	0	0	0	0	97773890.31	0	0	0
Chr01-anno2.g50865.t1	5	7	61606081.665	37729867.454	866104150.77	1188925293.88	36971309	138825302.24	0	29609836.65	536990686.1	407556586.77	0	0
Chr01-anno2.g50913.t1	5	5	0	7563627.596	72184067.063	106306584.52	452243830	318484837.53	0	0	0	0	217699158	179680536.08
Chr01-anno2.g51020.t1	2	2	15487787.08	0	152785376.67	476598275.2	268615424	587332610.6	0	0	69256200.82	206054039	0	0
Chr01-anno2.g51024.t1	4	4	35092689.15	0	111920796.99	973364936.2	27549684.75	51463793.31	0	0	0	973364936.2	0	0
Chr01-anno2.g51205.t1	5	11	18330740.201	0	9001845.976	102429194	2727167035	2042946127.03	0	0	0	0	2727167035	2030708118.8
Chr01-anno2.g51251.t1	1	1	132802201.8	178824869.9	814256280.9	369609084.5	22359180	211479316	0	0	0	369609084.5	0	0
Chr01-anno2.g51413.t1	7	11	601813404.82	765424645.9	1311952086.973	2205468429.03	90141027.5	196839399.926	590490372.1	0	1280907847.683	209049461.03	0	0
Chr01-anno2.g51449.t1	8	17	54256203.85	52247176.58	657257503.08	2307811849.78	295231594	147837971.268	0	0	552417282.08	1587785450.6	199410330	132672014.8
Chr01-anno2.g51451.t1	1	2	0	0	107256913.7	0	0	0	0	0	107256913.7	0	0	0
Chr01-anno2.g51490.t1	16	32	167141536.752	132575074.01	130002325.27	521390678.75	7624377658	7709103809.64	0	0	0	0	5939050258	6895203648.41
Chr01-anno2.g51543.t1	5	7	0	0	169719912.79	2200839837.02	37726048	111523254.2	0	0	169719912.79	1873981959.02	0	0
Chr01-long_reads1.PB.176.10	34	96	1327707570.49	333351947.001	35821196224.554	809963420.359	8474934736	8200995415.37	114788865	46248026.6	35813892551.42	0	6760024522	5126608332.86
Chr01-long_reads1.PB.22.2	7	7	276030295.03	217993002.32	1060949438.52	924961731.43	0	198227623.23	210420027.11	94649768.04	18031870.62	0	0	0
Chr01-long_reads1.PB.238.1	5	13	835735551.63	518271640.848	253964484.7	687481534.91	41691324	85462690.12	159904306.23	508726414.23	0	540966604.3	0	0
Chr01-long_reads1.PB.359.1	7	10	44897230.821	50654072.14	137998885.634	145771838.29	822146496	468460529.73	0	50654072.14	0	0	536090728	161106119.63
Chr01-long_reads1.PB.367.1	4	6	0	0	272671280.75	493063634.54	140808974	76521509.75	0	0	272671280.75	439340056.97	0	0
Chr01-long_reads1.PB.408.1	4	13	6452883.399	3891746.209	31994667.63	98994863.15	6051730944	2936273846.01	0	0	0	0	6033320176	2936273846.01
Chr01-long_reads1.PB.416.1	1	1	0	0	0	105935232.9	0	0	0	0	0	105935232.9	0	0
Chr01-long_reads1.PB.426.1	1	1	12118225.94	0	0	71678139.46	0	0	0	0	0	71678139.46	0	0
Chr01-long_reads1.PB.473.6	1	1	0	0	0	47198208.25	0	0	0	0	0	47198208.25	0	0
Chr01-long_reads1.PB.49.2	52	78	104646874.96	88616549.33	4213195276.523	8373837578.716	3421457205	2665419682.812	0	0	3518944905.63	1028389710.93	2105379795	1954485147.272
Chr01-long_reads1.PB.65.1	43	69	280548518.431	33089921.745	3027861803.2	7994517356.34	1175318421	584329100.853	0	0	1669319664.05	7156755454.44	255671897	44207604.87
Chr01-long_reads1.PB.76.1	13	20	0	0	1871266469.74	2857124068.5	322633683.5	277289198.43	0	0	1817935023.13	1488186634.1	0	39692137.63
Chr01-long_reads1.PB.81.1	1	1	0	0	0	62231382.13	4251893.5	4278462.581	0	0	0	62231382.13	0	0
Chr01-long_reads1.PB.96.3	1	1	18476774.23	21011712.3	0	0	0	0	0	21011712.3	0	0	0	0
Chr02-anno1.g20309.t1	1	1	0	0	74332791.04	120355029	0	0	0	0	74332791.04	0	0	0
Chr02-anno1.g20323.t1	2	3	70419194.74	100112940.55	15498014.66	41615648.16	0	0	15218358.48	100112940.55	0	0	0	0
Chr02-anno1.g20341.t1	1	1	36906563.5	144097748.9	70154912.6	0	0	0	0	144097748.9	0	0	0	0
Chr02-anno1.g20377.t1	1	1	0	0	82311456.58	8101760.463	0	11897436.8	0	0	82311456.58	0	0	0
Chr02-anno1.g20400.t1	1	1	80903060.44	107516957.2	45278267.02	23957078.68	0	0	0	107516957.2	0	0	0	0
Chr02-anno1.g20425.t1	2	2	0	5973843.755	200630111.15	491531284.1	19203320	8559645.17	0	0	0	491531284.1	0	0
Chr02-anno1.g20428.t1	1	1	0	0	61610046.1	0	35953016	0	0	0	61610046.1	0	0	0
Chr02-anno1.g20433.t1	7	14	168009871.21	147949699	4589653638.85	5124415813.6	469757418	1424311303.69	0	0	1658853748.85	4367032593.2	328004376	781824611.6
Chr02-anno1.g20469.t1	1	1	0	0	67004175.66	153791057.8	5148156.5	6008470.843	0	0	0	153791057.8	0	0
Chr02-anno1.g20472.t1	2	3	144363504.6	166736213.5	516819654.61	1068638860.2	0	8071672.096	144363504.6	0	0	776452967	0	0
Chr02-anno1.g20476.t1	1	1	0	0	0	0	49464436	51577067.12	0	0	0	0	0	51577067.12
Chr02-anno1.g20639.t1	3	4	1300602086.2	453318040.4	1055539277.24	2361804223.43	80120274	92129909.17	131169055.2	431616455.1	0	0	0	68483362.69
Chr02-anno1.g20661.t1	8	12	1238382427.27	1277059763.22	443323118.51	295541055.79	43410076	81661448.07	940153546.07	755186358.63	132741420.2	0	0	0
Chr02-anno1.g20666.t1	2	3	0	0	189179130.34	266479217.91	0	20836956.03	0	0	116603914.5	89574288.51	0	0
Chr02-anno1.g20679.t1	10	17	24869445.559	26154339.757	1672902201.91	4849733665	35226759	73316251.03	0	0	1586383724.15	4176383709.9	0	0
Chr02-anno1.g20827.t1	2	3	0	0	209080051.08	179800864.13	0	0	0	0	92359905.88	179800864.13	0	0
Chr02-anno1.g20839.t1	2	2	0	0	61589819.47	87403523.45	0	0	0	0	61589819.47	0	0	0
Chr02-anno1.g20870.t2	12	24	200344729.06	207100238.361	255849878.32	898700371.23	9011032188	7927326185.7	0	0	0	434353654	8894013964	7309743231.6
Chr02-anno1.g20955.t1	2	9	2102270.461	8728398.809	306280413	178591705.4	2311422436	6184910521.23	0	8728398.809	306280413	178591705.4	2311422436	6184910521.23
Chr02-anno1.g20957.t1	4	4	37106357.59	38779163.7	449396652.03	185118454.49	22039262	17091983.56	0	0	449396652.03	0	0	0
Chr02-anno1.g21072.t1	1	2	0	10862621.35	38565622.1	100842112.1	0	0	0	0	38565622.1	100842112.1	0	0
Chr02-anno1.g21175.t1	9	18	134899955.5	121034529.8	212682147.7	50885649.39	1839831720	1977164989.8	0	0	0	0	1729533020	1611533580.6
Chr02-anno1.g21262.t1	7	15	44817522	247952682.7	111083621.288	469753269.25	1471995240	997575931.03	0	0	0	0	1125216992	985001173.33
Chr02-anno1.g21268.t1	3	5	0	0	102453253.91	507971804.64	24063176	15975705.12	0	0	102453253.91	507971804.64	0	0
Chr02-anno1.g21269.t1	1	1	0	0	18198160.69	50002334.12	19944866	63745952.68	0	0	0	50002334.12	0	0
Chr02-anno1.g21303.t1	37	174	85343278291.77	100995307116.412	38905002894.7921	29755964751.63	981294907.5	1837351515.774	73355001016.7	82345167947.6	32685597883.01	21047831634.56	234944973.5	377053254.03
Chr02-anno1.g21386.t1	23	46	94057445.01	134218997.46	148908388.4	106248175.99	5952419894	6350042197.331	0	0	0	0	5793900348	4803564392.49
Chr02-anno1.g21401.t1	2	5	151346750.78	111299501.7	591830302.75	871338429.4	26742794	12789134.53	140174733.3	111299501.7	78033598.05	871338429.4	0	0
Chr02-anno1.g21436.t1	2	3	148632495.1	180496511.6	176384161.81	287576741.5	14169179	0	0	0	99754777.69	161960308.1	14169179	0
