Checked,Protein_FDR_Confidence,Master,Accession,Description,q-value,Sum_PEP_Score,Coverage_percent,Peptides,PSMs,UniquePeptides,Aas,MW,calc_pI,Score_Sequest_HT,Num_Peptides,RazorPeptides,Abundance_cp1,Abundance_cp2,Abundance_mt1,Abundance_mt2,Abundance_lf1,Abundance_lf2,Found_cp1,Found_cp2,Found_mt1,Found_mt2,Found_lf1,Found_lf2,ProteinGroups,Modifications
FALSE,High,Master Protein,Sconica_v3_48934-RA,Sconica_v3_48934-RA,0,1078.354,91,74,344,27,577,61.6,5.87,1254.05,74,52,129217460.1,171292275.1,6178506443,15859821443,1279927881,2918601707,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr03-anno2.g20661.t1,Chr03-anno2.g20661.t1,0,1069.446,83,44,624,22,473,51.5,6.09,2762.92,44,29,9749072784,6871868243,2485032740,5412009833,15539043369,6185644288,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_34387-RA,Sconica_v3_34387-RA,0,1026.904,56,75,379,75,1621,176.2,6.42,1283.45,75,0,2592872852,2130069949,628587636.4,1175107166,4925639857,4226288712,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_49349-RA,Sconica_v3_49349-RA,0,954.351,85,53,367,29,501,53.5,6.65,1172.96,53,0,130594062.4,101566355.4,3243535943,6271515843,190250896.4,579378807.7,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr02-long_reads1.PB.784.2,Chr02-long_reads1.PB.784.2,0,928.249,70,64,346,62,943,106.6,6.79,1167.72,64,2,1455085877,1500565926,499788308.3,1204605711,4853260332,357089365.2,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr06-anno1.g17247.t1,Chr06-anno1.g17247.t1,0,913.895,87,36,509,35,384,42.4,7.05,2080.59,36,0,173811063.1,171572115.1,8863731832,19906324677,797363368.8,2406547097,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_36246-RA,Sconica_v3_36246-RA,0,852.197,82,33,285,33,349,36.6,7.85,1177.03,33,0,75359416.18,57709724.58,14600747309,24172333201,1537389351,2446368584,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr05-anno1.g10686.t1,Chr05-anno1.g10686.t1,0,834.324,68,51,190,51,545,59.8,7.47,711.02,51,0,35670338.32,32512141.73,4639398579,8607937015,410957147.7,646131423.9,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_48936-RA,Sconica_v3_48936-RA,0,826.768,76,59,254,16,624,66.8,6.24,894.23,59,0,1776572.094,5154677,183482671.4,1188616980,22740361.75,78663207.94,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr06-anno1.g17971.t1,Chr06-anno1.g17971.t1,0,825.405,73,60,217,13,571,60.9,6.24,745.86,60,9,1384696.688,2465802.992,725090022.6,1758712024,51409563.84,82304426.69,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_53455-RA,Sconica_v3_53455-RA,0,796.574,76,37,426,15,445,48.4,6.44,1904.74,37,0,963719541.8,274951202.3,414453246.4,860966328.5,975729059.9,234904399.9,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_39863-RA,Sconica_v3_39863-RA,0,778.021,72,76,341,71,921,102.1,7.21,1042.36,76,5,1463412094,1153488808,3297094102,1658619401,2585262878,5622089960,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_52785-RA,Sconica_v3_52785-RA,0,754.345,75,42,342,29,520,57.3,7.64,1155.35,42,0,10865447.34,97978421.87,987516255.3,1696879501,68713255.25,141863159.8,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_58395-RA,Sconica_v3_58395-RA,0,752.291,66,41,676,13,382,41.4,9.72,2108.07,41,41,137592984.7,246966608.4,25769463243,47021789831,2730923838,6555402921,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_26195-RA,Sconica_v3_26195-RA,0,749.896,60,45,244,25,422,47,6.96,859.81,45,28,67526402.43,68350933.11,4956741414,10101778315,491800152,1091119839,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr06-anno1.g19145.t1,Chr06-anno1.g19145.t1,0,745.002,67,40,454,33,742,79.9,6.4,1504.74,40,10,4275217725,3417353965,627303840.4,1263202458,8973621607,7416910192,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr04-anno1.g49515.t1,Chr04-anno1.g49515.t1,0,734.939,85,32,190,32,505,54.2,6.25,879.16,32,0,72043989.42,150754138.2,5206958234,11810519860,656592148.3,1124158603,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,plastid_atpB,plastid_atpB,0,733.633,81,31,724,30,490,52.5,5.36,2375.2,31,0,16011481018,19824502199,2403024885,3286194367,17132166829,18948558665,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_43485-RA,Sconica_v3_43485-RA,0,725.193,100,38,220,38,276,29.4,8.21,996.71,38,0,64626601.94,60410177.16,3761354742,8821465311,369073730.4,439063419.4,High,High,High,High,High,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Chr04-anno1.g46688.t1,Chr04-anno1.g46688.t1,0,720.263,71,40,244,18,520,57.5,6.44,940.04,40,26,257596541.4,232703941.6,7350799418,11373251280,548296349.5,1573537742,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr07-anno1.g1346.t1,Chr07-anno1.g1346.t1,0,704.468,82,42,329,37,492,57,7.33,1155.35,42,6,121833272.1,150657273.6,3938654755,7053033321,5036813145,13654954594,High,High,High,High,High,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Sconica_v3_07269-RA,Sconica_v3_07269-RA,0,698.57,89,44,150,41,482,52.4,7.93,572.39,44,4,11324016.86,7769709.555,1719876526,4122458993,355079925.9,594700391.5,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr06-anno2.g51699.t1,Chr06-anno2.g51699.t1,0,683.673,51,36,486,5,473,52.3,9.96,1488.12,36,5,7689138.645,22212703.63,735734830.6,1109586164,39285467.63,127120390.2,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_52397-RA,Sconica_v3_52397-RA,0,679.78,64,43,221,20,743,79.9,6.67,789.29,43,22,1995777170,1993786272,1593918037,1762455491,1823808451,1817067815,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr05-anno1.g9732.t1,Chr05-anno1.g9732.t1,0,678.914,78,52,204,52,623,68.6,5.29,660.2,52,0,87829352.29,74747488.71,902765703.5,1859629101,2130625068,4714927084,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_24580-RA,Sconica_v3_24580-RA,0,677.641,67,41,213,41,622,68.2,6.57,736.94,41,0,42890836.05,33956965.86,3649442328,7238244386,499971206,797279546.1,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr09-anno1.g44725.t1,Chr09-anno1.g44725.t1,0,665.185,76,39,170,27,451,49.1,7.59,622.74,39,15,149275852.7,199045684.4,3288441164,7120923842,247045368.8,461443289.6,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr05-anno1.g8010.t1,Chr05-anno1.g8010.t1,0,664.338,67,37,181,37,481,53.3,6.58,605.52,37,0,44676545.98,23952821.05,821667518.3,1975559929,1618338356,945775041.5,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_58194-RA,Sconica_v3_58194-RA,0,657.941,48,62,154,41,944,104.1,7.91,498.91,62,23,192661385.9,125384339.6,1026897788,2913449085,702851198.2,994335011.8,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_17542-RA,Sconica_v3_17542-RA,0,655.562,60,54,134,45,815,92.2,5.34,482.5,54,10,95995827.47,44867174.12,852451413.1,1933883710,196130569.9,295122168.4,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr02-anno2.g14667.t1,Chr02-anno2.g14667.t1,0,643.36,72,36,185,28,376,40.6,8.28,641.54,36,11,128291521,192751724.8,3901487367,8013810469,266044813.7,292840983.6,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_35962-RA,Sconica_v3_35962-RA,0,643.292,50,52,228,23,1046,115,6.92,709.58,52,0,138547430.6,85703320.76,74925854.34,304123992.3,260370407.3,512821408.7,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr02-anno2.g16177.t1,Chr02-anno2.g16177.t1,0,642.664,74,45,180,7,517,57.1,8.28,628.62,45,48,144826659.3,108311028.7,2573180552,6821377795,291756289.1,420997687.6,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_10950-RA,Sconica_v3_10950-RA,0,638.183,72,40,176,23,609,67.1,6.61,608.53,40,19,175215617,83894461.5,2277335020,6055770499,220758622.8,774839893.2,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr07-anno1.g1340.t1,Chr07-anno1.g1340.t1,0,630.711,79,39,226,34,492,56.8,7.25,828.4,39,0,124205310.8,77501225.39,1721771091,2877828813,2315129836,1151056186,High,High,High,High,High,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Sconica_v3_06206-RA,Sconica_v3_06206-RA,0,629.419,75,39,140,19,536,59.2,6.04,581.52,39,21,60183779.41,37078894.51,3769984075,6149652468,478263857.3,958819069.8,High,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_24737-RA,Sconica_v3_24737-RA,0,629.392,82,43,205,43,422,45.2,5.9,747.1,43,0,490361983.1,399567699.4,4908510657,10908439007,411516213.1,2151187608,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_25891-RA,Sconica_v3_25891-RA,0,628.674,77,45,171,7,494,54.4,7.88,598.25,45,0,1923045.125,3437667.781,87177454.56,307459105.4,30454671.53,31388996.25,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_51547-RA,Sconica_v3_51547-RA,0,627.984,78,39,145,33,496,53.6,6,558.88,39,7,54275025.35,43348098.63,1721055256,3625823769,392447093.6,323860982.9,High,High,High,High,High,High,1,
FALSE,High,Master Protein,FUN_049265-T1,FUN_049265-T1,0,619.105,65,37,197,37,229,26.2,6.39,643.15,37,0,88259251.41,114482842.7,6102432389,13271772553,798591779.5,1576791480,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_11106-RA,Sconica_v3_11106-RA,0,610.396,75,39,133,39,454,50.3,7.23,498.38,39,0,28630262.61,40717931.45,1118305907,2767048632,204005799.1,466980716.5,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_58228-RA,Sconica_v3_58228-RA,0,600.125,78,37,324,28,411,44.1,8.27,1163.88,37,13,6322983135,5461144456,1044981442,2623995191,10218079646,9189202750,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_29346-RA,Sconica_v3_29346-RA,0,593.569,71,28,194,27,431,47.4,6.55,763.74,28,1,1985227062,1545394100,262836427.9,835072953.6,2633463462,1394279046,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_27484-RA,Sconica_v3_27484-RA,0,590.413,69,39,426,35,536,56.8,7.09,1522.55,39,4,5876235704,4475453587,880942494.1,1966558547,10210087616,6462517662,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_25254-RA,Sconica_v3_25254-RA,0,585.61,72,30,206,14,401,43.2,8.31,784.85,30,18,3357045424,2864374285,1305195027,1921411057,7445343555,5128577374,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_52376-RA,Sconica_v3_52376-RA,0,584.811,55,43,138,35,799,91,5.06,421.03,43,1,269422171.9,158661505.3,1139183424,1513297699,346031921.9,380132796.6,High,High,Peak Found,High,High,High,1,
FALSE,High,Master Protein,Chr07-anno2.g65199.t1,Chr07-anno2.g65199.t1,0,583.114,70,29,232,28,480,52.5,6.55,812.58,29,0,2030995585,1611262949,433701859.9,441224353,2639049917,2009132912,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr09-anno2.g40858.t1,Chr09-anno2.g40858.t1,0,578.023,89,29,340,28,303,32.7,6.15,1314.31,29,1,606201472.1,451922664.3,1420309639,3068531516,15547564462,3252247059,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_10594-RA,Sconica_v3_10594-RA,0,576.16,57,43,154,7,850,94.4,6.23,513.64,43,47,209225746.5,78390696.12,501410419.6,1375854817,2570068012,3939116010,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr04-anno2.g26351.t1,Chr04-anno2.g26351.t1,0,567.911,68,36,182,27,626,69.7,6.11,651.71,36,12,36351185.63,33559375.4,2167536718,5534494305,163408694.3,400340982.9,High,High,High,High,High,High,1,
FALSE,High,Master Protein,plastid_psbB,plastid_psbB,0,562.956,52,26,490,26,508,56.1,6.77,1611.79,26,0,9772140856,11828142939,862480419.4,853205258.2,9260409914,9530186702,High,High,High,High,High,High,1,
FALSE,High,Master Protein,plastid_atpA,plastid_atpA,0,561.47,70,34,558,29,507,55.6,5.27,1639.17,34,0,12910246390,13311561472,752740571.8,894976159.1,13435517646,13763518160,High,High,High,High,High,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Sconica_v3_38969-RA,Sconica_v3_38969-RA,0,560.485,78,41,193,37,255,28.5,8.91,586.81,41,4,31744667.3,28888037.68,5684414589,10902463999,401483164.4,1127329756,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr01-long_reads1.PB.176.10,Chr01-long_reads1.PB.176.10,0,558.411,70,49,145,37,842,95.1,6.51,509.39,49,11,50091166.64,56365324.52,375444934.5,718451366.8,2378193747,120141417.9,High,High,High,High,High,Peak Found,1,Acetyl [N-Term]
FALSE,High,Master Protein,Sconica_v3_47079-RA,Sconica_v3_47079-RA,0,557.038,93,22,176,22,269,28.6,7.21,688.74,22,0,11069707.97,19820790.81,6025026199,9696949941,303812907.1,239538330.5,High,High,High,High,High,High,1,
FALSE,High,Master Protein,FUN_038995-T1,FUN_038995-T1,0,556.544,19,34,147,34,1803,200.3,7.53,527.39,34,0,24085445.94,32339466.84,1920434025,4667127054,669129031.8,1662113597,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr07-anno2.g66420.t1,Chr07-anno2.g66420.t1,0,553.358,75,38,194,34,545,59.2,8.12,739.37,38,4,24725530.37,86125776.48,5294129055,9848387654,1127775245,1514972625,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_29079-RA,Sconica_v3_29079-RA,0,548.595,55,30,430,6,381,41.6,9.69,1287.29,30,0,258786411.1,416578805.2,107638907.4,119074467.2,12667190.81,8180633.75,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr07-anno1.g5076.t1,Chr07-anno1.g5076.t1,0,547.125,65,33,152,33,491,55.4,6.49,531.91,33,0,133185366,162992534,373776371.9,341869690.5,6562356679,251818437.7,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr06-anno1.g17291.t1,Chr06-anno1.g17291.t1,0,543.219,62,23,267,23,335,36.7,6.43,974.03,23,0,1993242020,1078738415,1188021255,3089989612,7046383526,3449500162,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_25361-RA,Sconica_v3_25361-RA,0,542.965,56,37,184,37,270,30.5,9.48,620.5,37,0,130399665.1,407812738.4,3631774322,11245422839,653731323.5,1217893184,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr03-anno2.g18675.t1,Chr03-anno2.g18675.t1,0,539.54,66,39,104,39,576,62.5,8.92,372.15,39,0,22473045.23,40145934.42,965655739.8,1786671669,38449146.25,120784452.3,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,FUN_044694-T1,FUN_044694-T1,0,537.639,78,30,279,30,202,22.3,8.97,855.78,30,0,74851484.55,48214547.3,7926637744,18036301663,959944781.8,1468159395,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_52848-RA,Sconica_v3_52848-RA,0,537.4,53,41,144,5,843,93.5,6.14,473.07,41,0,3328619.625,,18732988.25,22161884.5,42772807.5,68891732.25,Peak Found,Not Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_31330-RA,Sconica_v3_31330-RA,0,534.083,73,48,202,22,603,64,5.57,668.34,48,25,1612831010,767331610,906512974.1,1609685558,1840563887,963495799.3,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_19084-RA,Sconica_v3_19084-RA,0,528.235,66,35,313,26,452,48,7.5,1076.37,35,0,3409145130,2702578132,560259421.1,1250862071,6231119529,4421842831,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_12169-RA,Sconica_v3_12169-RA,0,526.25,58,37,145,29,537,58.3,6.8,545.62,37,5,150780971.6,151112955,1294098072,3173265976,176463578.7,362525279,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr10-long_reads1.PB.5290.2,Chr10-long_reads1.PB.5290.2,0,525.912,47,44,139,8,953,104.9,6.93,488.62,44,34,111961125.8,108433572.3,277402325.2,461142373.9,1505431654,2396291277,High,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_12079-RA,Sconica_v3_12079-RA,0,520.385,55,38,163,18,391,43.5,7.81,510.1,38,0,5933645.086,4949818.602,482915967,1062403602,119603381.4,225199496.4,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_02147-RA,Sconica_v3_02147-RA,0,520.194,64,40,125,40,580,64.9,8.9,443.32,40,0,447585684.1,291336472.3,1901869472,3534668285,226403789.8,695272229.4,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_10062-RA,Sconica_v3_10062-RA,0,519.853,94,38,168,38,386,42,7.72,561.62,38,0,163845126.1,384689193.3,1782818150,2456214619,2023266978,903629864.5,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr03-anno1.g57640.t1,Chr03-anno1.g57640.t1,0,519.757,57,49,151,25,794,88.1,6.71,508.33,49,23,74366276.97,78286969.75,512414572.7,1039665440,3271092390,2385660340,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_39740-RA,Sconica_v3_39740-RA,0,518.467,81,30,270,25,371,40.6,9,882.21,30,5,119748141.5,82322492.29,3439838986,5149218238,5782884334,2678550006,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr03-anno2.g23328.t1,Chr03-anno2.g23328.t1,0,517.351,81,35,139,35,487,54.1,5.07,523.54,35,0,26546552.75,20819925.63,556886194.2,1097821296,1012067731,2530372693,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_04987-RA,Sconica_v3_04987-RA,0,513.98,61,57,148,42,966,111.1,6.23,423.84,57,14,15700608,24635693.49,157059017.7,713543825.5,1807661368,1423725421,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr05-anno1.g7562.t1,Chr05-anno1.g7562.t1,0,512.813,60,46,182,3,774,86.1,8.18,612.44,46,44,195579764,527009902.9,303289663.7,505179835.9,743023339,212890702.6,High,High,High,High,High,Not Found,1,
FALSE,High,Master Protein,Sconica_v3_05018-RA,Sconica_v3_05018-RA,0,512.359,59,35,184,13,692,74.3,6.02,612.28,35,22,1791968892,2311046406,133229446.8,290857957.9,1435760498,1453498868,High,High,Peak Found,Peak Found,High,High,1,
FALSE,High,Master Protein,Sconica_v3_25458-RA,Sconica_v3_25458-RA,0,511.266,58,45,189,4,773,86,8.18,627.45,45,2,36769765.56,97503251.44,27317677.63,111426809,177846546.3,158173918.8,High,High,High,High,High,Peak Found,1,
FALSE,High,Master Protein,Sconica_v3_12880-RA,Sconica_v3_12880-RA,0,510.409,70,23,153,7,341,35.5,8.72,660.78,23,19,20079498.97,28656064.51,4354958486,6574960997,198762732.3,575643495.3,High,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_31378-RA,Sconica_v3_31378-RA,0,507.764,62,44,107,44,641,71.1,6.04,383.53,44,0,53894786.34,58427689.78,1109775696,2043193991,199878739.6,260953797.6,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_49673-RA,Sconica_v3_49673-RA,0,507.008,69,32,199,17,408,44.4,8.98,665.4,32,0,6125913.648,5683941.703,190477236.6,541421703.3,193764473.7,254917879.9,Peak Found,Peak Found,High,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,Sconica_v3_45557-RA,Sconica_v3_45557-RA,0,503.861,91,23,161,8,272,29.5,6.52,582.7,23,19,21837854.92,26780286.77,4487493297,8150124908,278196575.5,621196522.8,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,FUN_004374-T1,FUN_004374-T1,0,503.437,40,30,155,11,529,57.7,9.64,568.69,30,0,2016236.5,4758320.719,1190457433,943291759.3,76695545.66,139258353.4,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr03-anno2.g22812.t1,Chr03-anno2.g22812.t1,0,496.088,60,37,142,37,530,60,6.4,507.7,37,0,75818869.34,239810388.2,547601967.5,475816015.1,2458949118,205256532.4,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_48892-RA,Sconica_v3_48892-RA,0,495.894,68,27,118,15,411,44.7,6.42,478.02,27,15,21593123.7,21911880.55,2026570843,4152081222,232531784.2,559347544.8,High,Peak Found,High,High,High,High,1,Acetyl [N-Term]
FALSE,High,Master Protein,Chr05-anno1.g11887.t1,Chr05-anno1.g11887.t1,0,494.181,58,30,121,16,492,54.8,7.56,467.97,30,15,9229762.039,14353064.92,1651415402,3508332934,114866309.9,376345133.4,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,FUN_012963-T1,FUN_012963-T1,0,492.987,53,60,192,60,1103,123.2,5.94,544.48,60,0,243448939.1,241594544.4,295340535.6,618049695.2,603362761.3,594206769.8,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr03-anno1.g56312.t1,Chr03-anno1.g56312.t1,0,490.32,65,31,117,31,552,61.3,7.24,411.2,31,0,100977065,131223529.9,1907350285,3520014660,188690318.3,548471460.1,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr10-anno1.g30286.t1,Chr10-anno1.g30286.t1,0,488.598,65,35,139,13,517,57.2,6.49,465.63,35,0,4607356.188,7352167.625,454822431.9,685166522.4,50506889.88,68774669,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_47838-RA,Sconica_v3_47838-RA,0,486.716,70,35,147,35,419,46.4,8.54,505.73,35,0,198471748.7,1150009715,3086104177,6463523103,489919101,2452552520,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_16104-RA,Sconica_v3_16104-RA,0,486.6,67,31,119,22,242,26.5,7.81,409.84,31,11,23175853.65,22686141.88,3761108616,6532445418,266634235.5,477872504.6,High,High,High,High,High,High,1,
FALSE,High,Master Protein,FUN_018661-T1,FUN_018661-T1,0,482.396,61,32,147,32,413,45.2,8.31,513.17,32,0,347280367.7,479592372.8,803735670,1653753987,779876961.2,1072756264,High,High,High,High,High,High,1,
FALSE,High,Master Protein,FUN_040725-T1,FUN_040725-T1,0,480.056,52,39,92,39,686,74.5,5.35,350.94,39,0,16247017.72,520004287.2,621459518.6,1397862786,1265683795,133962275.3,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Chr08-anno1.g36423.t1,Chr08-anno1.g36423.t1,0,479.362,62,44,129,44,741,81.8,6.92,454.63,44,0,464689158.4,514511604.5,904578307.1,2853272857,767309497.7,1159129596,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr03-anno1.g53617.t1,Chr03-anno1.g53617.t1,0,475.46,48,32,171,10,795,85.9,7.14,556.65,32,0,223793877.2,272913423.2,30196922.16,33766087.13,230555890.3,298714244.2,High,High,Peak Found,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_30747-RA,Sconica_v3_30747-RA,0,474.089,49,41,100,26,751,84.8,5.59,336.71,41,15,121555505.7,110074195.1,554620414.8,1194730699,737410921.5,247676752,Peak Found,Peak Found,High,High,Peak Found,High,1,
FALSE,High,Master Protein,Sconica_v3_02097-RA,Sconica_v3_02097-RA,0,472.006,62,41,115,41,626,68.4,8,366.92,41,0,15433830.53,20616156.5,882456405.6,1961222924,130355848.5,365381704.9,Peak Found,Peak Found,High,High,High,High,1,
