"Master Protein Accessions","conica_chloroplast_1","conica_chloroplast_2","conica_mito_1","conica_mito_2","conica_nuclear_1","conica_nuclear_2"
"Chr02-anno1.g25285.t1",6,8,1,0,2,5
"Chr02-anno1.g25381.t1",1,3,21,19,1,0
"Chr02-anno1.g25466.t1",4,6,7,9,6,5
"Chr02-anno1.g25531.t1",35,23,1,0,18,13
"Chr02-anno1.g25591.t1",3,3,0,0,2,0
"Chr02-anno1.g25700.t1",33,36,0,0,18,19
"Chr02-anno1.g25726.t1",2,3,2,0,6,3
"Chr02-anno1.g25732.t1",5,6,1,1,6,3
"Chr02-anno1.g25803.t1",1,2,2,0,3,3
"Chr02-anno1.g25810.t1",2,4,0,0,0,0
"Chr02-anno1.g25852.t1",24,28,5,2,31,21
"Chr02-anno1.g26053.t1",5,0,43,33,12,0
"Chr02-anno1.g26075.t1",22,11,2,2,15,9
"Chr02-anno1.g26295.t1",2,1,0,0,0,0
"Chr02-anno1.g26405.t1",3,1,0,0,0,1
"Chr02-anno1.g26684.t1",12,9,0,0,0,1
"Chr02-anno1.g26815.t1",2,2,0,0,0,5
"Chr02-anno1.g26907.t1",1,2,0,2,0,0
"Chr02-anno1.g27070.t1",7,9,4,5,4,2
"Chr02-anno1.g27073.t1",26,17,0,0,19,10
"Chr02-anno1.g27084.t1",4,4,0,0,2,4
"Chr02-anno1.g27366.t1",1,1,1,1,0,1
"Chr02-anno1.g27403.t1",1,0,0,0,0,0
"Chr02-anno1.g27479.t1",1,1,0,0,1,0
"Chr02-anno1.g27498.t1",4,2,4,9,10,12
"Chr02-anno2.g11357.t1",1,2,0,0,0,0
"Chr02-anno2.g12136.t1",4,6,1,0,4,2
"Chr02-anno2.g12263.t1",6,5,2,0,6,4
"Chr02-anno2.g12729.t1",1,1,0,0,1,0
"Chr02-anno2.g13121.t1",3,3,0,0,0,4
"Chr02-anno2.g13262.t1",1,3,0,0,0,0
"Chr02-anno2.g13798.t1",7,8,0,0,8,7
"Chr02-anno2.g13842.t1",7,8,0,0,3,4
"Chr02-anno2.g14015.t1",7,3,0,0,0,0
"Chr02-anno2.g14639.t1",4,6,13,14,7,5
"Chr02-anno2.g14667.t1",1,1,64,55,12,7
"Chr02-anno2.g15295.t1",1,2,0,0,0,0
"Chr02-anno2.g7879.t1",1,0,6,3,11,9
"Chr02-anno2.g8375.t1",1,1,0,2,2,4
"Chr02-anno2.g8656.t1",9,0,13,13,2,3
"Chr02-anno2.g9805.t1",26,31,6,6,14,13
"Chr02-anno2.g9847.t1",2,5,0,0,2,0
"Chr02-long_reads1.PB.1059.1",32,37,0,0,19,9
"Chr02-long_reads1.PB.648.1",1,0,0,0,1,0
"Chr02-long_reads1.PB.784.2",82,90,37,31,100,1
"Chr02-long_reads1.PB.815.1",5,9,0,0,2,3
"Chr02-long_reads1.PB.889.1",2,1,1,0,2,0
"Chr02-long_reads1.PB.901.1",1,0,0,0,1,1
"Chr03-anno1.g51741.t1",7,8,8,5,2,1
"Chr03-anno1.g51837.t1",1,1,0,0,0,1
"Chr03-anno1.g51925.t1",2,1,0,0,2,2
"Chr03-anno1.g51926.t1",1,1,0,0,1,2
"Chr03-anno1.g51933.t1",1,0,0,0,0,2
"Chr03-anno1.g51971.t1",10,13,0,0,6,4
"Chr03-anno1.g52127.t1",36,36,0,1,22,21
"Chr03-anno1.g52179.t2",2,2,28,27,5,6
"Chr03-anno1.g52195.t1",7,6,0,0,3,1
"Chr03-anno1.g52202.t1",2,1,0,0,1,1
"Chr03-anno1.g52808.t1",6,7,0,0,4,4
"Chr03-anno1.g52999.t1",1,0,0,0,0,0
"Chr03-anno1.g53066.t1",7,5,1,3,9,13
"Chr03-anno1.g53256.t1",7,9,0,0,2,2
"Chr03-anno1.g53316.t1",7,14,1,0,9,5
"Chr03-anno1.g53352.t1",1,0,0,0,1,2
"Chr03-anno1.g53358.t1",1,0,0,0,2,6
"Chr03-anno1.g53416.t1",2,2,0,0,1,1
"Chr03-anno1.g53617.t1",17,19,3,3,13,9
"Chr03-anno1.g53733.t1",1,6,2,1,2,2
"Chr03-anno1.g54182.t1",4,4,11,7,38,29
"Chr03-anno1.g54256.t1",4,5,15,17,18,11
"Chr03-anno1.g55574.t1",4,3,0,1,6,1
"Chr03-anno1.g55646.t2",1,0,0,0,1,0
"Chr03-anno1.g55711.t1",5,8,1,0,4,3
"Chr03-anno1.g55914.t1",1,1,0,0,0,0
"Chr03-anno1.g56640.t1",11,18,4,3,15,5
"Chr03-anno1.g56752.t1",5,3,0,0,4,3
"Chr03-anno1.g56775.t1",1,2,3,4,2,5
"Chr03-anno1.g57156.t1",5,4,0,1,16,26
"Chr03-anno1.g57229.t1",1,1,1,0,11,9
"Chr03-anno1.g57321.t1",1,3,0,0,0,0
"Chr03-anno1.g57353.t1",11,9,0,1,10,7
"Chr03-anno1.g57426.t1",3,3,5,6,9,9
"Chr03-anno1.g57432.t1",10,17,2,0,9,9
"Chr03-anno1.g57527.t1",7,9,8,6,6,6
"Chr03-anno1.g57538.t1",31,41,5,11,22,16
"Chr03-anno1.g57685.t1",12,13,1,0,10,5
"Chr03-anno1.g57796.t1",23,20,0,0,14,15
"Chr03-anno1.g58012.t1",2,6,0,0,0,0
"Chr03-anno2.g16453.t1",4,2,12,12,6,12
"Chr03-anno2.g16597.t1",4,1,2,2,18,19
"Chr03-anno2.g16989.t1",4,6,0,0,2,2
"Chr03-anno2.g17890.t1",11,12,0,0,1,1
"Chr03-anno2.g17981.t1",8,12,0,0,4,3
"Chr03-anno2.g20661.t1",59,86,30,28,70,20
"Chr03-anno2.g21223.t1",19,28,3,2,20,9
"Chr03-anno2.g22230.t1",2,0,0,0,0,0
"Chr03-anno2.g22326.t1",1,1,0,0,0,0
"Chr03-anno2.g22812.t1",21,11,26,41,34,8
"Chr03-anno2.g22858.t1",4,5,8,3,4,0
"Chr03-anno2.g23275.t1",1,1,0,0,0,0
"Chr03-anno2.g23328.t1",5,8,27,24,36,39
"Chr03-anno2.g23436.t1",10,7,11,11,7,6
"Chr03-anno2.g23580.t1",1,0,0,0,0,0
"Chr03-anno2.g23596.t1",1,0,0,3,1,1
"Chr03-anno2.g23601.t1",5,6,3,3,6,4
"Chr03-long_reads1.PB.1187.7",1,0,70,63,2,4
"Chr03-long_reads1.PB.1643.2",8,9,12,5,8,2
"Chr04-anno1.g45181.t1",12,15,2,0,5,4
"Chr04-anno1.g45221.t1",3,3,0,0,7,7
"Chr04-anno1.g45458.t1",6,4,0,0,5,6
"Chr04-anno1.g45501.t1",12,9,1,2,9,5
"Chr04-anno1.g45631.t1",1,1,1,0,3,11
"Chr04-anno1.g45723.t1",1,1,0,0,4,9
"Chr04-anno1.g45830.t1",6,8,0,0,5,1
"Chr04-anno1.g45878.t1",8,11,0,0,3,2
"Chr04-anno1.g46581.t1",10,14,4,0,10,3
"Chr04-anno1.g46688.t1",3,2,61,66,10,12
"Chr04-anno1.g46730.t1",10,16,5,2,4,2
"Chr04-anno1.g46736.t1",5,6,0,0,3,0
"Chr04-anno1.g46788.t1",6,6,0,0,10,1
"Chr04-anno1.g46836.t1",2,0,0,0,6,3
"Chr04-anno1.g47054.t1",1,4,0,0,0,1
"Chr04-anno1.g47347.t1",1,4,0,0,1,0
"Chr04-anno1.g47348.t1",2,4,0,0,0,0
"Chr04-anno1.g47425.t1",4,5,0,0,0,1
"Chr04-anno1.g47585.t1",5,3,0,0,5,4
"Chr04-anno1.g47717.t1",2,2,0,0,1,1
"Chr04-anno1.g49484.t1",1,2,6,5,44,43
"Chr04-anno1.g49515.t1",2,0,77,85,11,17
"Chr04-anno1.g49768.t1",1,0,0,0,0,0
"Chr04-anno1.g50029.t1",7,11,2,2,9,4
"Chr04-anno1.g50545.t1",12,16,5,5,13,8
"Chr04-anno1.g50554.t1",2,1,9,8,9,16
"Chr04-anno1.g51167.t1",1,0,0,0,0,0
"Chr04-anno2.g23679.t1",2,1,142,146,22,20
"Chr04-anno2.g23985.t1",7,10,5,4,6,7
"Chr04-anno2.g24019.t1",7,8,0,0,0,0
"Chr04-anno2.g24158.t1",2,2,0,0,3,3
"Chr04-anno2.g24505.t1",11,11,15,14,19,22
"Chr04-anno2.g25964.t1",1,2,0,0,1,0
"Chr04-anno2.g26127.t1",6,5,0,0,5,4
"Chr04-anno2.g26234.t1",6,7,0,0,8,4
"Chr04-anno2.g26351.t1",3,0,63,55,15,15
"Chr04-anno2.g29592.t1",17,20,1,1,16,7
"Chr04-anno2.g29594.t1",1,0,0,1,1,2
"Chr04-anno2.g29925.t1",13,10,0,1,3,9
"Chr04-anno2.g29986.t1",14,16,0,0,5,8
"Chr04-anno2.g30329.t1",3,3,1,1,0,2
"Chr04-anno2.g30692.t1",31,29,5,6,23,10
"Chr04-anno2.g30799.t1",3,5,0,0,14,11
"Chr04-anno2.g31173.t1",6,3,146,148,30,24
"Chr04-long_reads1.PB.1659.1",10,10,0,0,0,1
"Chr04-long_reads1.PB.1661.1",1,1,0,0,2,5
"Chr04-long_reads1.PB.2017.1",1,2,2,8,12,11
"Chr04-long_reads1.PB.2041.4",2,0,20,17,5,6
"Chr05-anno1.g10086.t1",5,3,0,0,0,0
"Chr05-anno1.g10281.t1",15,12,12,13,13,10
"Chr05-anno1.g10458.t1",1,1,0,0,1,1
"Chr05-anno1.g10533.t1",7,9,3,4,6,3
"Chr05-anno1.g10686.t1",1,1,88,73,15,13
"Chr05-anno1.g10687.t1",16,15,0,0,9,11
"Chr05-anno1.g10703.t1",31,37,0,0,27,21
"Chr05-anno1.g11015.t1",1,0,0,0,3,4
"Chr05-anno1.g11016.t1",3,5,0,0,0,2
"Chr05-anno1.g11235.t1",9,10,2,4,7,2
"Chr05-anno1.g11445.t1",2,3,0,0,1,0
"Chr05-anno1.g11473.t1",14,20,1,1,16,4
"Chr05-anno1.g11672.t1",1,1,0,0,1,3
"Chr05-anno1.g11744.t1",11,9,0,0,3,6
"Chr05-anno1.g11789.t1",6,5,4,6,19,20
"Chr05-anno1.g11793.t1",36,32,10,19,25,13
"Chr05-anno1.g11985.t1",2,2,0,0,0,4
"Chr05-anno1.g12040.t1",2,0,0,0,1,1
"Chr05-anno1.g12162.t1",1,2,0,0,1,0
"Chr05-anno1.g12297.t1",6,7,0,0,5,5
"Chr05-anno1.g12336.t1",2,3,15,9,2,0
"Chr05-anno1.g12485.t1",2,1,0,0,1,0
"Chr05-anno1.g12610.t1",2,0,11,12,1,1
"Chr05-anno1.g12750.t1",4,4,0,0,1,0
"Chr05-anno1.g12772.t1",1,1,0,0,6,3
"Chr05-anno1.g12868.t1",3,1,2,4,3,2
"Chr05-anno1.g13029.t1",5,3,6,13,24,75
"Chr05-anno1.g13053.t1",2,3,0,0,0,0
"Chr05-anno1.g6322.t1",3,1,0,1,5,7
"Chr05-anno1.g6393.t1",6,6,0,0,2,3
"Chr05-anno1.g6487.t1",1,2,0,0,1,1
"Chr05-anno1.g6516.t1",7,9,0,0,6,4
"Chr05-anno1.g6636.t1",8,7,0,0,6,11
"Chr05-anno1.g6642.t1",1,0,0,0,0,0
"Chr05-anno1.g6750.t1",6,6,0,0,3,5
"Chr05-anno1.g6981.t1",21,24,3,3,15,9
"Chr05-anno1.g7260.t1",12,14,0,0,8,6
"Chr05-anno1.g7476.t1",3,1,0,0,0,0
"Chr05-anno1.g7498.t1",2,3,2,3,1,1
"Chr05-anno1.g7562.t1",5,3,3,2,1,0
"Chr05-anno1.g7586.t2",1,1,0,0,1,0
"Chr05-anno1.g7614.t1",1,3,0,0,0,0
"Chr05-anno1.g7748.t1",3,4,4,3,1,1
"Chr05-anno1.g7782.t1",2,4,0,0,1,3
"Chr05-anno1.g8008.t1",2,1,0,0,1,0
"Chr05-anno1.g8010.t1",3,12,45,51,46,25
"Chr05-anno1.g8318.t1",1,2,0,2,2,0
"Chr05-anno1.g8323.t1",1,2,0,1,1,1
"Chr05-anno1.g8378.t1",4,1,47,58,2,3
"Chr05-anno1.g8405.t1",3,2,16,20,16,23
"Chr05-anno1.g8406.t1",19,24,1,0,9,12
"Chr05-anno1.g8943.t1",65,56,7,9,36,26
"Chr05-anno1.g9265.t1",1,1,0,0,0,0
"Chr05-anno1.g9421.t1",22,24,7,9,19,11
"Chr05-anno1.g9732.t1",7,9,43,38,56,54
"Chr05-anno1.g9850.t1",1,0,0,0,0,0
"Chr05-anno1.g9877.t1",2,1,0,0,0,0
"Chr05-anno2.g66509.t1",3,2,3,2,4,3
"Chr05-anno2.g67462.t1",1,1,0,0,1,1
"Chr05-anno2.g67908.t1",5,0,0,0,4,4
"Chr05-anno2.g67919.t1",3,7,0,0,5,3
"Chr05-anno2.g67959.t1",3,2,0,0,1,0
"Chr05-anno2.g68008.t1",1,2,0,0,2,0
"Chr05-anno2.g68310.t1",2,0,0,0,0,5
"Chr05-anno2.g68401.t1",14,22,0,0,9,14
"Chr05-anno2.g68475.t1",7,8,0,0,7,5
"Chr05-anno2.g70097.t1",1,0,0,0,0,0
"Chr05-anno2.g70232.t1",3,2,0,0,1,0
"Chr05-anno2.g71273.t1",17,17,5,3,9,9
"Chr05-anno2.g71288.t1",1,1,0,0,0,0
"Chr05-anno2.g72062.t1",1,1,0,0,0,0
"Chr05-anno2.g72863.t1",6,2,0,0,3,1
"Chr05-anno2.g73406.t1",63,55,11,18,35,41
"Chr05-anno2.g73748.t1",8,5,7,4,5,8
"Chr05-anno2.g74070.t1",4,5,0,0,1,1
"Chr05-anno2.g74081.t1",27,20,1,0,10,11
"Chr05-anno2.g74371.t1",1,3,0,0,0,0
"Chr05-long_reads1.PB.2264.1",20,23,2,2,11,5
"Chr05-long_reads1.PB.2361.2",1,1,8,12,24,21
"Chr05-long_reads1.PB.2370.1",14,23,0,0,13,4
"Chr05-long_reads1.PB.2464.4",4,2,13,8,23,27
"Chr05-long_reads1.PB.2512.2",30,34,7,2,26,15
"Chr05-long_reads1.PB.2554.1",5,6,0,0,2,1
"Chr05-long_reads1.PB.2780.5",7,20,0,0,1,2
"Chr06-anno1.g13148.t1",13,14,2,4,13,10
"Chr06-anno1.g13372.t2",2,0,0,0,0,0
"Chr06-anno1.g13466.t1",1,0,14,14,13,22
"Chr06-anno1.g13976.t1",1,1,0,0,0,0
"Chr06-anno1.g14394.t1",3,5,0,0,0,1
"Chr06-anno1.g16330.t1",1,1,26,28,4,8
"Chr06-anno1.g16375.t1",3,4,0,0,2,2
"Chr06-anno1.g17246.t1",1,0,0,0,0,0
"Chr06-anno1.g17247.t1",43,28,187,181,30,28
"Chr06-anno1.g17291.t1",45,57,40,39,59,28
"Chr06-anno1.g17418.t1",2,8,0,0,0,0
"Chr06-anno1.g17474.t1",22,30,8,8,29,21
"Chr06-anno1.g17963.t1",2,3,0,0,3,0
"Chr06-anno1.g17971.t1",1,1,19,15,2,3
"Chr06-anno1.g18088.t1",5,7,0,0,2,2
"Chr06-anno1.g18344.t1",1,2,0,0,1,1
"Chr06-anno1.g18515.t1",5,7,0,0,5,4
"Chr06-anno1.g18666.t1",8,11,0,0,10,1
"Chr06-anno1.g18888.t1",1,2,0,0,6,6
"Chr06-anno1.g18890.t1",1,1,0,0,0,1
"Chr06-anno1.g18927.t1",13,12,0,1,14,12
"Chr06-anno1.g19145.t1",69,79,37,35,101,84
"Chr06-anno1.g19555.t1",7,16,3,4,13,7
"Chr06-anno1.g19775.t1",4,6,8,6,5,4
"Chr06-anno2.g51623.t1",5,5,6,3,6,14
"Chr06-anno2.g51656.t1",1,1,0,0,0,1
"Chr06-anno2.g51675.t1",32,35,13,18,24,52
"Chr06-anno2.g51699.t1",5,2,34,19,3,8
"Chr06-anno2.g51754.t1",2,2,0,0,0,0
"Chr06-anno2.g56548.t1",2,6,0,0,0,0
"Chr06-anno2.g56570.t1",2,3,0,0,0,0
"Chr06-anno2.g57604.t1",1,0,0,0,0,1
"Chr06-anno2.g58353.t1",5,5,0,0,2,3
"Chr06-anno2.g59180.t1",1,2,0,0,2,0
"Chr06-anno2.g59219.t1",3,2,0,1,7,7
"Chr06-long_reads1.PB.3119.1",16,25,1,1,10,1
"Chr06-long_reads1.PB.3127.1",2,8,25,19,2,0
"Chr06-long_reads1.PB.3179.1",1,1,0,0,1,1
"Chr06-long_reads1.PB.3200.1",14,13,0,2,4,2
"Chr06-long_reads1.PB.3359.1",1,1,0,1,2,2
"Chr07-anno1.g1320.t1",19,17,1,0,4,2
"Chr07-anno1.g1340.t1",2,6,52,52,48,24
"Chr07-anno1.g1346.t1",15,14,64,69,56,71
"Chr07-anno1.g1347.t1",36,39,4,7,24,27
"Chr07-anno1.g1373.t1",2,1,0,3,5,1
"Chr07-anno1.g1698.t1",3,5,20,13,5,7
"Chr07-anno1.g1780.t1",6,9,0,0,6,8
"Chr07-anno1.g198.t1",1,0,0,0,0,0
"Chr07-anno1.g1981.t1",1,0,0,0,0,0
"Chr07-anno1.g2057.t1",4,7,0,0,4,3
"Chr07-anno1.g2168.t1",1,0,0,1,0,0
"Chr07-anno1.g258.t1",1,4,0,0,0,0
"Chr07-anno1.g2884.t1",31,33,2,3,21,16
"Chr07-anno1.g317.t1",1,1,9,11,1,1
"Chr07-anno1.g3598.t1",9,9,0,2,6,1
"Chr07-anno1.g3889.t1",1,6,1,5,24,26
"Chr07-anno1.g3909.t1",16,18,0,0,14,8
"Chr07-anno1.g3925.t1",6,8,1,0,4,0
"Chr07-anno1.g408.t1",1,5,0,0,3,3
"Chr07-anno1.g4534.t1",2,5,0,0,1,0
"Chr07-anno1.g4536.t1",6,4,0,0,2,2
"Chr07-anno1.g4692.t1",4,7,0,0,5,1
"Chr07-anno1.g4740.t1",1,3,0,0,0,0
"Chr07-anno1.g4847.t1",3,6,1,0,4,3
"Chr07-anno1.g5060.t1",1,3,6,5,0,9
"Chr07-anno1.g5076.t1",20,18,12,21,70,11
"Chr07-anno1.g535.t1",13,21,5,2,14,10
"Chr07-anno1.g5394.t1",24,23,0,0,9,6
"Chr07-anno1.g5549.t1",4,6,0,0,2,2
"Chr07-anno1.g5554.t1",1,0,8,7,7,9
"Chr07-anno1.g5559.t1",25,32,7,12,36,20
"Chr07-anno1.g5587.t1",4,4,0,0,3,1
"Chr07-anno1.g5614.t1",4,4,0,0,2,2
"Chr07-anno1.g5637.t1",7,8,17,16,13,10
"Chr07-anno1.g5671.t1",4,0,6,1,5,6
"Chr07-anno1.g5820.t1",2,5,0,0,1,0
"Chr07-anno1.g5952.t1",5,7,0,0,5,4
"Chr07-anno1.g6009.t1",4,5,0,0,3,6
"Chr07-anno1.g6014.t1",1,1,0,2,7,7
"Chr07-anno1.g6125.t1",8,10,0,0,5,2
"Chr07-anno2.g59988.t1",1,0,0,0,0,0
"Chr07-anno2.g60374.t1",6,5,2,3,3,4
"Chr07-anno2.g64044.t1",1,4,0,0,2,0
"Chr07-anno2.g64096.t1",4,2,0,0,0,0
"Chr07-anno2.g64276.t1",3,5,5,3,4,5
"Chr07-anno2.g64377.t1",4,2,0,0,0,1
"Chr07-anno2.g64565.t1",3,1,0,0,2,1
"Chr07-anno2.g64673.t1",13,18,12,16,16,13
"Chr07-anno2.g65024.t1",4,4,1,4,2,4
"Chr07-anno2.g65199.t1",46,50,19,21,50,27
"Chr07-anno2.g65659.t1",16,17,0,0,7,10
"Chr07-anno2.g65860.t1",8,9,0,0,5,4
"Chr07-anno2.g66252.t1",7,16,0,0,5,4
"Chr07-anno2.g66420.t1",2,3,65,68,15,14
"Chr07-long_reads1.PB.3400.2",2,1,6,7,4,1
"Chr07-long_reads1.PB.3445.1",2,0,0,0,1,0
"Chr07-long_reads1.PB.3554.1",1,0,0,0,1,0
"Chr07-long_reads1.PB.3645.1",5,4,4,1,3,2
"Chr07-long_reads1.PB.3664.1",1,1,0,0,2,1
"Chr07-long_reads1.PB.3699.9",38,31,0,1,18,19
"Chr07-long_reads1.PB.3812.1",11,21,0,0,8,4
"Chr07-long_reads1.PB.3954.1",50,27,528,524,77,40
"Chr07-long_reads1.PB.3969.1",9,11,12,7,6,3
"Chr08-anno1.g32874.t1",11,8,0,0,4,5
"Chr08-anno1.g32889.t1",5,4,0,0,5,2
"Chr08-anno1.g33390.t1",5,7,0,0,4,1
"Chr08-anno1.g33458.t1",3,2,0,0,1,1
"Chr08-anno1.g33691.t1",3,1,0,0,0,0
"Chr08-anno1.g33885.t1",1,3,0,0,0,0
"Chr08-anno1.g34337.t1",4,4,0,0,0,4
"Chr08-anno1.g34978.t1",2,8,0,0,3,0
"Chr08-anno1.g35079.t1",1,1,0,0,1,0
"Chr08-anno1.g35138.t1",9,15,0,1,11,2
"Chr08-anno1.g35689.t1",1,1,1,0,1,8
"Chr08-anno1.g35763.t1",7,7,0,0,4,3
"Chr08-anno1.g35816.t1",1,1,0,0,5,11
"Chr08-anno1.g36070.t1",8,10,0,0,3,5
"Chr08-anno1.g36187.t1",1,4,0,0,0,0
"Chr08-anno1.g36423.t1",8,9,51,50,7,3
"Chr08-anno1.g37018.t1",1,2,0,0,1,0
"Chr08-anno1.g37814.t1",1,0,3,2,0,1
"Chr08-anno1.g37833.t1",1,1,10,4,8,8
"Chr08-anno1.g37993.t1",15,18,4,4,12,9
"Chr08-anno1.g38054.t1",4,4,0,0,9,5
"Chr08-anno1.g38232.t1",1,0,0,0,0,1
"Chr08-anno1.g38469.t1",9,8,0,1,9,1
"Chr08-anno1.g38582.t2",1,0,0,0,0,0
"Chr08-anno1.g38783.t1",3,3,0,0,1,0
"Chr08-anno1.g38787.t1",12,16,0,0,8,5
"Chr08-anno1.g39423.t1",1,3,0,0,7,5
"Chr08-anno1.g39476.t1",5,6,1,1,6,4
"Chr08-anno2.g1047.t1",2,2,0,0,1,0
"Chr08-anno2.g1277.t1",1,6,3,0,5,0
"Chr08-anno2.g1312.t1",1,1,0,0,0,0
"Chr08-anno2.g2005.t1",8,5,2,0,8,15
"Chr08-anno2.g523.t1",3,0,0,0,3,2
"Chr08-anno2.g5928.t1",2,2,0,0,1,0
"Chr08-anno2.g7325.t1",6,8,0,0,6,7
"Chr08-anno2.g7431.t1",2,3,0,0,0,0
"Chr08-anno2.g7473.t1",8,9,0,0,7,5
"Chr08-long_reads1.PB.4061.1",1,0,0,0,0,0
"Chr08-long_reads1.PB.4073.1",6,2,0,0,16,11
"Chr08-long_reads1.PB.4112.1",1,0,0,0,0,0
"Chr08-long_reads1.PB.4124.1",2,4,6,2,1,0
"Chr08-long_reads1.PB.4175.1",13,10,0,1,3,1
"Chr08-long_reads1.PB.4247.3",1,0,9,0,3,2
"Chr08-long_reads1.PB.4277.1",10,7,1,1,7,5
"Chr08-long_reads1.PB.4491.1",10,6,28,26,5,7
"Chr08-long_reads1.PB.4553.2",7,9,0,0,2,2
"Chr08-long_reads1.PB.4574.3",7,7,0,0,1,0
"Chr09-anno1.g39553.t1",1,0,0,0,0,0
"Chr09-anno1.g39730.t1",21,15,4,9,13,10
"Chr09-anno1.g39849.t1",12,9,0,1,12,13
"Chr09-anno1.g39850.t1",1,2,0,0,5,10
"Chr09-anno1.g39856.t1",11,8,1,0,9,8
"Chr09-anno1.g39858.t1",9,9,0,2,10,5
"Chr09-anno1.g39999.t1",7,8,0,0,4,1
"Chr09-anno1.g40716.t1",11,11,1,0,11,5
"Chr09-anno1.g40803.t1",1,1,3,1,13,12
"Chr09-anno1.g41247.t1",1,1,0,0,0,1
"Chr09-anno1.g41452.t1",3,5,2,5,5,3
"Chr09-anno1.g41896.t1",9,8,1,1,7,8
"Chr09-anno1.g41920.t1",1,0,0,0,1,1
"Chr09-anno1.g41930.t1",4,3,0,0,3,2
"Chr09-anno1.g43234.t1",7,10,8,6,10,8
"Chr09-anno1.g43559.t1",1,2,0,0,2,0
"Chr09-anno1.g43971.t1",10,21,9,5,22,9
"Chr09-anno1.g44044.t1",6,3,0,0,3,4
"Chr09-anno1.g44239.t1",4,5,0,0,5,0
"Chr09-anno1.g44302.t1",2,4,0,0,1,0
