Protein,Cp1_noPF,Cp2_noPF,Mt1_noPF,Mt2_noPF,Lf1_noPF,Lf2_noPF
Chr01-anno1.g62439.t1,2771596888,3377181593,0,0,1141574401,1140570522
Chr01-anno1.g62471.t1,1606318251,1544502481,0,0,727524024.6,1573052806
Chr01-anno1.g62473.t1,0,0,0,0,46596294.04,0
Chr01-anno1.g62538.t1,0,0,14165218.25,52649716.67,0,0
Chr01-anno1.g62606.t1,1110865679,829795136.8,0,0,178954627.4,114948795.7
Chr01-anno1.g62681.t1,0,0,1095811672,640863839.6,60052330.26,113134937
Chr01-anno1.g62765.t1,0,0,587304464,149519481.9,0,0
Chr01-anno1.g63078.t1,0,0,0,226601647.7,0,0
Chr01-anno1.g63118.t1,6280731558,14165643562,98085696,0,2766044965,505773240.1
Chr01-anno1.g63135.t1,0,0,464448556,621288255.1,0,0
Chr01-anno1.g63223.t1,0,0,0,0,0,170305256.2
Chr01-anno1.g63279.t1,0,0,0,0,1236903660,1993082309
Chr01-anno1.g63350.t1,0,0,243356456,793584587,0,578725972.1
Chr01-anno1.g63406.t1,54633989.08,0,0,0,0,330137955.5
Chr01-anno1.g63408.t1,1.74E+11,2.29E+11,1545845732,3896740899,76873545961,83206790633
Chr01-anno1.g63475.t1,0,0,0,0,0,134781108.1
Chr01-anno1.g63513.t1,8732617474,6639829374,0,0,2104869241,9438424643
Chr01-anno1.g63535.t1,0,0,0,0,0,64106611.37
Chr01-anno1.g63569.t1,0,6271926.91,0,0,0,0
Chr01-anno1.g63570.t1,0,91618296.3,0,0,0,0
Chr01-anno1.g63575.t1,0,0,0,0,0,409341454.5
Chr01-anno1.g63583.t1,0,0,131952536,96724294.59,624796315.3,0
Chr01-anno1.g63586.t1,0,0,289506546,256413605.2,843391815.4,182779315.3
Chr01-anno1.g63653.t1,0,0,0,0,0,132055800.2
Chr01-anno1.g63655.t1,0,0,0,0,86298341.35,216017564.1
Chr01-anno1.g63716.t1,0,445531260.9,0,0,0,0
Chr01-anno1.g63837.t1,0,0,0,0,140565788.3,391570251.8
Chr01-anno1.g63840.t1,0,0,0,0,44878163.94,0
Chr01-anno1.g63868.t1,0,0,0,0,258963744.2,663110521.2
Chr01-anno1.g63918.t1,0,0,0,0,510208032.6,649897000.8
Chr01-anno1.g64044.t1,0,0,0,0,33068724.21,102308089.8
Chr01-anno1.g64099.t1,0,0,920170372,1591261194,0,0
Chr01-anno1.g64174.t1,452157856.4,169258519.4,0,0,79603620.01,222081517.4
Chr01-anno1.g64181.t1,0,0,0,0,0,94175514.82
Chr01-anno1.g64193.t2,0,0,1575807664,4313389642,0,0
Chr01-anno1.g64206.t1,53378977.32,0,0,0,0,0
Chr01-anno1.g64224.t1,0,0,275635760,0,4742462393,1611405609
Chr01-anno1.g64237.t1,0,0,0,0,47225288.96,78168711.48
Chr01-anno1.g64251.t1,369052016.2,134260814.9,0,0,152789018.7,92219767.65
Chr01-anno1.g64256.t1,0,0,0,0,1555292406,1383319550
Chr01-anno1.g64272.t1,131969307.9,108149697.1,8473897960,6466888515,123054259,270945665.7
Chr01-anno1.g64308.t1,0,0,0,0,889738.5783,796255828.9
Chr01-anno1.g64351.t1,475495709,661738802.8,0,0,326529637.6,104065057.6
Chr01-anno1.g64390.t1,0,0,0,0,247469824.3,586931596.1
Chr01-anno1.g64421.t1,0,0,15627365992,20233356393,540029401.4,566719700.9
Chr01-anno1.g64423.t1,0,0,74592602.5,259865993.7,0,0
Chr01-anno1.g64487.t1,0,0,0,0,0,459221265.8
Chr01-anno1.g64533.t1,0,0,412465788,646670220.4,0,0
Chr01-anno1.g64616.t1,0,0,0,0,38045892,53237736.3
Chr01-anno1.g64619.t1,0,0,0,0,197197200,854734957.8
Chr01-anno1.g64620.t1,0,0,0,0,468381104.5,905371629.1
Chr01-anno1.g64625.t1,0,0,1620023984,1188549306,0,0
Chr01-anno1.g64665.t1,0,0,0,0,498290194.5,2023001680
Chr01-anno1.g64708.t1,0,0,0,0,0,60751529.23
Chr01-anno1.g64709.t1,0,0,0,291440044.2,5372065633,12336564829
Chr01-anno1.g64712.t1,0,0,24288938892,21837287875,544530320.2,2698046328
Chr01-anno1.g64715.t1,0,0,0,0,142826107.3,258376449.6
Chr01-anno1.g64724.t1,0,30612768.51,0,0,0,0
Chr01-anno1.g64732.t1,25335913057,31033096932,449050486,905342457.4,23839393729,15509689377
Chr01-anno1.g64747.t1,0,0,539910150,357355760.7,715449823.8,1061670120
Chr01-anno1.g64749.t1,0,0,0,0,0,113046206.5
Chr01-anno1.g64806.t1,0,0,0,0,25734852.11,131956640.2
Chr01-anno1.g64825.t1,0,0,0,0,0,138875232.2
Chr01-anno1.g64839.t1,0,0,0,0,112565505.4,269277933.9
Chr01-anno1.g64849.t1,6016198363,4303359781,0,0,2296515158,1500062454
Chr01-anno1.g64853.t1,0,0,0,0,828029919.4,1191421740
Chr01-anno1.g64862.t1,0,0,2184554480,1404912081,33191734.94,0
Chr01-anno1.g64863.t1,0,0,0,0,520674398.3,0
Chr01-anno1.g64881.t1,0,0,255484504,454961333.1,0,0
Chr01-anno1.g64929.t1,0,0,0,0,50597942.38,0
Chr01-anno2.g43912.t1,0,0,0,0,0,61329989.1
Chr01-anno2.g43952.t1,7728049913,12020200706,0,0,5262560130,4086725556
Chr01-anno2.g44161.t1,2675783527,2822040163,0,0,1686817548,2169119018
Chr01-anno2.g44207.t1,0,89552550.73,0,0,83877313.49,0
Chr01-anno2.g44440.t1,66301720.06,18619143.41,0,0,0,0
Chr01-anno2.g45053.t1,0,0,172330716,200659172.6,605225813.3,2145640087
Chr01-anno2.g45463.t1,0,0,0,0,0,228653181.7
Chr01-anno2.g46480.t1,0,156547326,0,0,0,0
Chr01-anno2.g46927.t1,5238351967,5291941846,0,0,3228764284,2602703599
Chr01-anno2.g47018.t1,0,0,0,0,0,63367402.81
Chr01-anno2.g47224.t1,45259991.19,313979172.5,0,0,0,0
Chr01-anno2.g47487.t1,845502714.5,734997611.3,0,0,230766149.1,129055376
Chr01-anno2.g47683.t1,0,0,0,0,0,13374931618
Chr01-anno2.g48250.t1,0,0,0,0,0,240720062.5
Chr01-anno2.g48474.t1,10113302392,11489332781,30314322,0,7414236234,6655598529
Chr01-anno2.g48736.t1,1065982903,1617706748,241421168,155474453.9,864060387.5,1464129623
Chr01-anno2.g48983.t1,0,0,0,0,777368968.9,935331442.7
Chr01-anno2.g49556.t1,0,0,66814530,50681658.23,0,0
Chr01-anno2.g49560.t1,0,0,0,0,29301244.91,64710656.64
Chr01-anno2.g49676.t1,0,0,176356760,185771317.7,0,2081106588
Chr01-anno2.g49775.t1,0,0,0,0,143086218.1,79870597.45
Chr01-anno2.g49833.t1,0,0,0,0,0,245472193.8
Chr01-anno2.g49922.t1,0,0,0,0,709356822.9,405129183.8
Chr01-anno2.g50376.t1,58506772.39,0,0,0,209409417.6,438696579.7
Chr01-anno2.g50470.t1,0,0,0,0,97773890.31,0
Chr01-anno2.g50865.t1,0,29609836.65,0,0,536990686.1,407556586.8
Chr01-anno2.g50913.t1,0,0,217699158,179680536.1,0,0
Chr01-anno2.g51020.t1,0,0,0,0,69256200.82,206054039
Chr01-anno2.g51024.t1,0,0,0,0,0,973364936.2
Chr01-anno2.g51205.t1,0,0,2727167035,2030708119,0,0
Chr01-anno2.g51251.t1,0,0,0,0,0,369609084.5
Chr01-anno2.g51413.t1,590490372.1,0,0,0,1280907848,209049461
Chr01-anno2.g51449.t1,0,0,199410330,132672014.8,552417282.1,1587785451
Chr01-anno2.g51451.t1,0,0,0,0,107256913.7,0
Chr01-anno2.g51490.t1,0,0,5939050258,6895203648,0,0
Chr01-anno2.g51543.t1,0,0,0,0,169719912.8,1873981959
Chr01-long_reads1.PB.176.10,114788865,46248026.6,6760024522,5126608333,35813892551,0
Chr01-long_reads1.PB.22.2,210420027.1,94649768.04,0,0,18031870.62,0
Chr01-long_reads1.PB.238.1,159904306.2,508726414.2,0,0,0,540966604.3
Chr01-long_reads1.PB.359.1,0,50654072.14,536090728,161106119.6,0,0
Chr01-long_reads1.PB.367.1,0,0,0,0,272671280.8,439340057
Chr01-long_reads1.PB.408.1,0,0,6033320176,2936273846,0,0
Chr01-long_reads1.PB.416.1,0,0,0,0,0,105935232.9
Chr01-long_reads1.PB.426.1,0,0,0,0,0,71678139.46
Chr01-long_reads1.PB.473.6,0,0,0,0,0,47198208.25
Chr01-long_reads1.PB.49.2,0,0,2105379795,1954485147,3518944906,1028389711
Chr01-long_reads1.PB.65.1,0,0,255671897,44207604.87,1669319664,7156755454
Chr01-long_reads1.PB.76.1,0,0,0,39692137.63,1817935023,1488186634
Chr01-long_reads1.PB.81.1,0,0,0,0,0,62231382.13
Chr01-long_reads1.PB.96.3,0,21011712.3,0,0,0,0
Chr02-anno1.g20309.t1,0,0,0,0,74332791.04,0
Chr02-anno1.g20323.t1,15218358.48,100112940.6,0,0,0,0
Chr02-anno1.g20341.t1,0,144097748.9,0,0,0,0
Chr02-anno1.g20377.t1,0,0,0,0,82311456.58,0
Chr02-anno1.g20400.t1,0,107516957.2,0,0,0,0
Chr02-anno1.g20425.t1,0,0,0,0,0,491531284.1
Chr02-anno1.g20428.t1,0,0,0,0,61610046.1,0
Chr02-anno1.g20433.t1,0,0,328004376,781824611.6,1658853749,4367032593
Chr02-anno1.g20469.t1,0,0,0,0,0,153791057.8
Chr02-anno1.g20472.t1,144363504.6,0,0,0,0,776452967
Chr02-anno1.g20476.t1,0,0,0,51577067.12,0,0
Chr02-anno1.g20639.t1,131169055.2,431616455.1,0,68483362.69,0,0
Chr02-anno1.g20661.t1,940153546.1,755186358.6,0,0,132741420.2,0
Chr02-anno1.g20666.t1,0,0,0,0,116603914.5,89574288.51
Chr02-anno1.g20679.t1,0,0,0,0,1586383724,4176383710
Chr02-anno1.g20827.t1,0,0,0,0,92359905.88,179800864.1
Chr02-anno1.g20839.t1,0,0,0,0,61589819.47,0
Chr02-anno1.g20870.t2,0,0,8894013964,7309743232,0,434353654
Chr02-anno1.g20955.t1,0,8728398.809,2311422436,6184910521,306280413,178591705.4
Chr02-anno1.g20957.t1,0,0,0,0,449396652,0
Chr02-anno1.g21072.t1,0,0,0,0,38565622.1,100842112.1
Chr02-anno1.g21175.t1,0,0,1729533020,1611533581,0,0
Chr02-anno1.g21262.t1,0,0,1125216992,985001173.3,0,0
Chr02-anno1.g21268.t1,0,0,0,0,102453253.9,507971804.6
Chr02-anno1.g21269.t1,0,0,0,0,0,50002334.12
Chr02-anno1.g21303.t1,73355001017,82345167948,234944973.5,377053254,32685597883,21047831635
Chr02-anno1.g21386.t1,0,0,5793900348,4803564392,0,0
Chr02-anno1.g21401.t1,140174733.3,111299501.7,0,0,78033598.05,871338429.4
Chr02-anno1.g21436.t1,0,0,14169179,0,99754777.69,161960308.1
Chr02-anno1.g21511.t2,0,0,0,109493896.6,299549012,607165068
Chr02-anno1.g21525.t1,2716363103,1205156724,733083776,1899812697,2635589581,5140573289
Chr02-anno1.g21528.t1,0,0,0,0,0,187672427.7
Chr02-anno1.g21533.t1,877701942.3,419131468.4,10624770,67857221.23,314338352.3,303363791.7
Chr02-anno1.g21555.t1,0,53684499.49,0,0,0,0
Chr02-anno1.g21609.t1,0,0,0,0,61433110.27,0
Chr02-anno1.g21613.t1,0,0,108217592,248656319.7,69126844.84,0
Chr02-anno1.g21724.t1,0,0,159331256,184125954.2,0,0
Chr02-anno1.g21749.t1,0,0,0,0,29481636.91,0
Chr02-anno1.g21863.t1,100951947.3,33602232.02,0,0,166563019.6,140277783.3
Chr02-anno1.g21915.t1,66208101.59,0,0,0,0,0
Chr02-anno1.g22082.t1,0,0,0,0,0,241975142.9
Chr02-anno1.g22205.t1,0,0,0,0,0,221680788.6
Chr02-anno1.g22381.t1,0,0,0,0,991152340.5,1018278468
Chr02-anno1.g22390.t1,808802423.1,894331405.4,0,0,0,332042170
Chr02-anno1.g22455.t1,0,0,3816735856,4229598606,295011691.7,752818991
Chr02-anno1.g22695.t1,0,0,0,361828635.3,0,0
Chr02-anno1.g23433.t1,0,0,31650680,99411214.85,1802030716,2286710886
Chr02-anno1.g23633.t1,0,0,0,0,44662176.83,181605775.1
Chr02-anno1.g23806.t1,0,0,185192248,94311833.48,0,0
Chr02-anno1.g23843.t1,5399683352,3326785514,0,0,1091639152,2681410919
Chr02-anno1.g23898.t1,0,0,0,0,518725835.8,446874266.5
Chr02-anno1.g24083.t1,0,368434806.1,0,0,0,0
Chr02-anno1.g24096.t1,213445603.9,762500078.1,0,0,484106746,526943252.8
Chr02-anno1.g24229.t1,0,0,0,0,174119944,220280856.3
Chr02-anno1.g24543.t1,0,0,0,0,0,6547242958
Chr02-anno1.g24545.t1,0,0,0,0,36767530.61,17156059067
Chr02-anno1.g24566.t1,0,0,0,0,0,50847732.16
Chr02-anno1.g24669.t1,0,0,5410712576,1142109477,247697311,462867774.6
Chr02-anno1.g24716.t1,0,0,46829984,0,0,0
Chr02-anno1.g24736.t1,423596805.6,542447368.9,0,0,0,0
Chr02-anno1.g24759.t2,0,0,8666520020,13109277405,133986360.4,271554150.4
Chr02-anno1.g24855.t1,179229319.4,0,0,0,0,0
Chr02-anno1.g24910.t1,0,0,20340222,0,3029280025,3063118201
Chr02-anno1.g24923.t1,0,0,0,0,29783199.72,190073194.4
Chr02-anno1.g24933.t1,0,0,0,0,1759351651,2778449059
Chr02-anno1.g24952.t1,0,139818070,0,0,124326382.2,86173273.25
Chr02-anno1.g25143.t1,0,0,0,0,366760028.6,3251314956
Chr02-anno1.g25178.t1,1413069406,2397115166,168871376,188860130.1,515942001.2,343786100.4
Chr02-anno1.g25223.t1,0,0,277156516,113335725.3,0,0
Chr02-anno1.g25285.t1,1418629095,2056880452,17851804,0,634281131.4,1485533290
Chr02-anno1.g25295.t1,0,0,0,0,180318816.5,0
Chr02-anno1.g25381.t1,11716455.82,79688671.28,3161819564,3255834179,62628939.41,51770305.67
Chr02-anno1.g25466.t1,572649668.5,1068275544,2992561154,2664252675,2170215337,2205504977
Chr02-anno1.g25475.t1,0,0,0,0,91624154.01,0
Chr02-anno1.g25531.t1,10889193751,7420702759,0,0,4458458369,3986634253
Chr02-anno1.g25591.t1,240975277.3,431073884.3,0,0,72346402.77,0
Chr02-anno1.g25612.t1,0,2949042714,0,0,1073880894,0
Chr02-anno1.g25700.t1,7226789501,6893430456,0,0,2355395350,3093937064
Chr02-anno1.g25726.t1,159118990.3,310301066.4,76087184,0,2170941870,1007075404
Chr02-anno1.g25732.t1,3877740379,6551476341,163717792,14270225.41,4721515702,1902213922
Chr02-anno1.g25759.t1,0,0,0,177754799.4,0,0
Chr02-anno1.g25803.t1,0,0,111813204,0,642574960,969332199.8
Chr02-anno1.g25810.t1,60827554.58,308498861.4,0,0,155907336.3,0
Chr02-anno1.g25814.t1,0,0,317802034,354008006.8,0,0
Chr02-anno1.g25852.t1,11717099166,24407473583,372812474,307196450.6,14435366418,8928578579
Chr02-anno1.g25923.t1,0,42339758.18,0,0,0,0
Chr02-anno1.g26053.t1,102111529.9,0,13033351428,10224133160,282113009.6,0
Chr02-anno1.g26061.t1,0,14908782.88,0,0,0,0
Chr02-anno1.g26075.t1,20701299810,18205710787,510829288,792761386,27459403829,32896929297
Chr02-anno1.g26093.t1,0,0,736232658,287102597.4,0,0
Chr02-anno1.g26113.t1,0,0,0,0,348111524.4,1193410315
Chr02-anno1.g26295.t1,0,36680677.6,0,0,0,0
Chr02-anno1.g26363.t1,0,0,20531507.5,0,182981102.2,993277996.1
Chr02-anno1.g26405.t1,123362214.8,0,0,0,0,0
Chr02-anno1.g26481.t1,0,0,14080098566,18104699294,210576953.1,114996503.5
Chr02-anno1.g26553.t1,0,0,0,0,37719458.62,91908021.98
Chr02-anno1.g26596.t1,2824356546,1745643679,0,0,513917736.8,765338001.1
Chr02-anno1.g26603.t1,0,0,0,0,214951189.1,70419814.23
Chr02-anno1.g26604.t1,0,0,0,0,21611665.93,73161168.28
Chr02-anno1.g26605.t1,0,0,0,0,0,38848682.86
Chr02-anno1.g26666.t1,0,0,0,0,0,49697882.16
Chr02-anno1.g26684.t1,1296913137,656488734.2,0,0,0,85022906.37
Chr02-anno1.g26688.t1,0,33210556.94,0,0,1029727868,1586485414
Chr02-anno1.g26815.t1,151640682.3,263363092.2,0,0,0,890820132.7
Chr02-anno1.g26822.t1,0,0,0,87836850.53,0,0
Chr02-anno1.g26838.t1,0,0,84185136,0,699135861.1,296414658
Chr02-anno1.g26907.t1,58798385.58,240906583.7,0,276097234.9,0,0
Chr02-anno1.g26910.t1,0,0,0,0,450702754.1,515799743.8
Chr02-anno1.g26947.t1,0,0,0,0,0,264760794.8
Chr02-anno1.g26962.t1,0,0,111230760,1923711000,0,0
Chr02-anno1.g27070.t1,5727124471,9067682758,414357480,446985190.7,1895284091,1181924599
Chr02-anno1.g27073.t1,7536863598,5754770372,0,0,5398052261,2379156741
Chr02-anno1.g27074.t1,0,0,0,0,144304391.1,0
Chr02-anno1.g27084.t1,672230712.4,553181088.2,0,0,360215746.9,830351719.9
Chr02-anno1.g27174.t1,0,0,40810860,37088420.27,0,0
Chr02-anno1.g27252.t1,0,0,0,0,96122763.3,0
Chr02-anno1.g27316.t1,0,0,22323192,0,39561393.4,0
Chr02-anno1.g27320.t1,0,0,733017376,1144837405,0,0
Chr02-anno1.g27362.t1,0,0,978547283,998597910.1,0,0
Chr02-anno1.g27366.t1,213030053.9,414424563.8,90559272,93771098.82,0,1161041051
Chr02-anno1.g27390.t1,14554262518,7850915543,0,0,0,0
Chr02-anno1.g27403.t1,29514400.03,0,0,0,0,0
Chr02-anno1.g27471.t1,0,52465535.08,0,0,0,0
Chr02-anno1.g27479.t1,166740369.3,143834334.6,0,0,0,0
Chr02-anno1.g27498.t1,633332896.5,386128642.5,2682199396,4050629128,54428302899,95774271844
Chr02-anno1.g27506.t1,0,0,0,0,0,80391195.82
Chr02-anno1.g27507.t1,0,0,0,0,525854333.3,792776880
Chr02-anno1.g27509.t1,0,0,0,0,320407342.7,778588690.7
Chr02-anno1.g27528.t1,0,0,0,0,437078386.4,0
Chr02-anno2.g11357.t1,48133132.26,110055070.4,0,0,0,0
Chr02-anno2.g11595.t1,0,0,0,0,452515555.7,740563071.1
Chr02-anno2.g12081.t1,0,0,863302848,2604338907,0,0
Chr02-anno2.g12136.t1,385336204.5,629686865.5,50343496,0,562351381.6,174257922.7
Chr02-anno2.g12263.t1,5590811902,4054386090,23340648,0,3555841345,2664484018
Chr02-anno2.g12405.t1,0,0,0,0,517315648.4,516938021.5
Chr02-anno2.g12729.t1,53098729.63,81187310.62,0,0,68855278.59,0
Chr02-anno2.g13121.t1,1405087636,806749006.5,0,0,0,713739941.8
Chr02-anno2.g13157.t1,0,0,0,0,132991411.4,188958015.4
Chr02-anno2.g13262.t1,20303339.36,332293550.9,0,0,0,0
Chr02-anno2.g13384.t1,0,0,0,0,501952930.1,1159623390
Chr02-anno2.g13517.t1,0,0,47534373,0,2005168873,1602314687
Chr02-anno2.g13559.t1,0,0,0,0,138367412.6,0
Chr02-anno2.g13798.t1,875771418.3,891901265.3,0,0,940007935.4,1482596554
Chr02-anno2.g13842.t1,381781701,1031658493,28122542,0,446385160.7,357892623.2
Chr02-anno2.g14015.t1,485924715.9,274805764.6,0,0,192037872.7,363864905.6
Chr02-anno2.g14623.t1,0,0,0,0,0,64111228.81
Chr02-anno2.g14639.t1,728865415.5,1199737864,4934033398,6699776577,911932494.2,639455043.1
Chr02-anno2.g14667.t1,0,29969087.51,79617124473,92516598467,3989004733,578496355.3
Chr02-anno2.g14669.t1,0,0,0,0,0,49510296.07
Chr02-anno2.g14700.t1,0,0,0,0,0,4899702701
Chr02-anno2.g14701.t1,0,0,0,11544974150,397521054,0
Chr02-anno2.g15295.t1,95004450.66,186349050,0,0,0,0
Chr02-anno2.g15982.t1,0,0,0,0,0,42710680.5
Chr02-anno2.g16081.t1,0,0,0,0,0,436510592.7
Chr02-anno2.g16177.t1,0,0,10116826814,12151157155,328951966.6,393036275.4
Chr02-anno2.g7879.t1,56933404,0,1484902182,885895418.2,11674534293,12169145678
Chr02-anno2.g7980.t1,512372779.7,525414966.1,0,0,424103558.2,0
Chr02-anno2.g8375.t1,0,0,0,16298115.81,1448158727,2850806765
Chr02-anno2.g8399.t1,0,0,0,0,45925519.47,0
Chr02-anno2.g8493.t1,0,0,0,0,0,193408933.9
Chr02-anno2.g8656.t1,0,0,7096563022,6521969130,225944587.9,121058554.4
Chr02-anno2.g9797.t1,0,0,0,0,0,177605168.4
Chr02-anno2.g9805.t1,83422997515,93645666704,889250610,898553938,34781193333,41652609477
Chr02-anno2.g9847.t1,0,188744467.1,0,0,191031342.3,0
Chr02-long_reads1.PB.1006.2,0,0,62558068,0,0,0
Chr02-long_reads1.PB.1059.1,3204819551,4066235667,0,0,3014207120,715431191.5
Chr02-long_reads1.PB.592.2,0,0,0,0,42312011.51,0
Chr02-long_reads1.PB.648.1,24405230.18,0,0,0,66074052.72,0
Chr02-long_reads1.PB.666.1,0,0,0,0,0,178037556
Chr02-long_reads1.PB.686.1,0,0,1337454396,1374469783,240898085.3,266820333.7
Chr02-long_reads1.PB.703.3,0,0,0,0,76797073.03,25662467.93
Chr02-long_reads1.PB.784.2,67471206777,69043101439,6221958624,9773002656,1.11E+11,75645307.17
Chr02-long_reads1.PB.810.1,2174236904,850030856.4,691967424,0,9676974946,13829314251
Chr02-long_reads1.PB.813.2,0,0,0,44060652.63,0,0
Chr02-long_reads1.PB.815.1,87656180.46,282139773.1,0,0,185458928.5,131045598.8
Chr02-long_reads1.PB.851.1,0,0,0,0,227844047.3,521296510.9
Chr02-long_reads1.PB.859.3,0,0,0,0,87819958,251779274.6
Chr02-long_reads1.PB.862.1,0,0,0,21459666.44,2108679698,1961113249
Chr02-long_reads1.PB.889.1,103435157.9,57469553.56,0,0,0,0
Chr02-long_reads1.PB.897.1,0,0,33959032,0,0,0
Chr02-long_reads1.PB.901.1,0,0,0,0,0,74239413.61
Chr02-long_reads1.PB.936.1,0,0,0,0,80114213.47,0
Chr03-anno1.g51625.t1,0,0,0,0,0,34340181.4
Chr03-anno1.g51636.t1,0,129677338.8,0,0,1222840906,2015605712
Chr03-anno1.g51663.t1,0,0,0,0,32301391.06,0
Chr03-anno1.g51676.t1,0,0,743314134,167666999.8,692330863.7,813816524.8
Chr03-anno1.g51739.t1,0,0,0,0,60865932.63,472999267.5
Chr03-anno1.g51741.t1,2463108238,4079405140,716425683.5,2109269019,524896302.7,433394411
Chr03-anno1.g51825.t1,0,0,329674656,511200598.5,0,0
Chr03-anno1.g51837.t1,14338472.26,19844697.39,0,0,0,0
Chr03-anno1.g51925.t1,97111613.1,72641128.12,0,0,293730901.2,1627333514
Chr03-anno1.g51926.t1,22407585.83,9843132.361,0,0,166657145.9,692052179.4
Chr03-anno1.g51933.t1,27345094.36,0,0,0,0,2754528090
Chr03-anno1.g51944.t1,0,0,17103335096,17792745700,165901690.4,914526190.1
Chr03-anno1.g51971.t1,1160189488,1812977895,0,0,901667648.2,138202361.9
Chr03-anno1.g52015.t1,0,0,0,0,904160263.2,4259629077
Chr03-anno1.g52106.t1,0,0,98023672,22545258.35,637656374.6,2235911700
Chr03-anno1.g52127.t1,42730141274,33003178897,0,283685373,19194640318,16448479392
Chr03-anno1.g52179.t2,159537622.9,79812786.56,76161949793,93848033643,1976881195,5372549404
Chr03-anno1.g52180.t1,0,0,266043136,106507564.1,0,0
Chr03-anno1.g52195.t1,1189959580,780033546.2,0,0,441175481.1,35259403.82
Chr03-anno1.g52201.t1,0,0,0,0,0,116192814.9
Chr03-anno1.g52202.t1,172198488.7,104940419.9,0,0,85428740.8,85174075.62
Chr03-anno1.g52206.t1,0,0,52057888,0,988715030.5,2070210944
Chr03-anno1.g52220.t1,0,0,0,0,219126307.6,148254835.8
Chr03-anno1.g52246.t1,0,0,0,0,0,0
Chr03-anno1.g52291.t1,0,0,0,0,359965636,600864121
Chr03-anno1.g52328.t1,0,0,0,0,0,25974779.28
Chr03-anno1.g52362.t1,0,0,0,0,550627883,1476891428
Chr03-anno1.g52554.t1,0,0,2187192304,1872737511,0,0
Chr03-anno1.g52604.t1,0,0,1133834912,1070603788,82515216.33,120475576.2
